Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Antal elever
Valt läsår: 2023/24


Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Antal elever skolår 1;Antal elever skolår 2;Antal elever skolår 3;Andel kvinnor (%);Andel m utl bakgr (%);Andel m högutb föräldrar (%);
Almåsgymnasiet B;93281974;Borås;1490;Kommunal;Borås kommun;2120001561;284;126;89;69;72;62;30;
Almåsgymnasiet C;23424275;Borås;1490;Kommunal;Borås kommun;2120001561;256;129;59;68;71;30;37;
Bäckängsgymnasiet A;43634528;Borås;1490;Kommunal;Borås kommun;2120001561;330;109;111;110;55;53;71;
Bäckängsgymnasiet B;36263479;Borås;1490;Kommunal;Borås kommun;2120001561;452;159;147;146;78;34;61;
Bäckängsgymnasiet C;56679384;Borås;1490;Kommunal;Borås kommun;2120001561;268;105;87;76;87;20;59;
Bäckängsgymnasiet D;30538202;Borås;1490;Kommunal;Borås kommun;2120001561;99;55;22;22;70;48;42;
Bäckängsgymnasiet E;11138440;Borås;1490;Kommunal;Borås kommun;2120001561;389;127;122;140;56;34;70;
Drottning Blankas Gymnasieskola Borås;19150273;Borås;1490;Enskild;DBGY Kronan AB;5565668794;227;89;68;70;84;46;38;
LBS Kreativa Gymnasiet Borås;69018222;Borås;1490;Enskild;Ljud & Bildskolan LBS AB;5564851649;171;45;58;68;34;20;63;
Praktiska Gymnasiet Borås;25624692;Borås;1490;Enskild;Praktiska Sverige AB;5562575786;155;47;42;66;14;45;26;
Realgymnasiet Borås;88534520;Borås;1490;Enskild;Lärande i Sverige AB;5565715892;121;38;40;43;80;..;51;
Sven Eriksonsgymnasiet A;12889940;Borås;1490;Kommunal;Borås kommun;2120001561;344;95;113;136;22;32;65;
Sven Eriksonsgymnasiet B;16554575;Borås;1490;Kommunal;Borås kommun;2120001561;213;111;57;45;52;52;45;
Sven Eriksonsgymnasiet C;34076477;Borås;1490;Kommunal;Borås kommun;2120001561;361;123;124;114;36;24;64;
Sven Eriksonsgymnasiet D;54450836;Borås;1490;Kommunal;Borås kommun;2120001561;368;139;136;93;64;23;61;
Viskastrandsgymnasiet A;25356960;Borås;1490;Kommunal;Borås kommun;2120001561;242;77;84;81;21;13;38;
Viskastrandsgymnasiet B;64284020;Borås;1490;Kommunal;Borås kommun;2120001561;148;58;61;29;48;19;46;
Viskastrandsgymnasiet C;98132436;Borås;1490;Kommunal;Borås kommun;2120001561;230;108;68;54;9;12;45;
Viskastrandsgymnasiet D;67692516;Borås;1490;Kommunal;Borås kommun;2120001561;306;125;98;83;8;28;45;
Yrkesgymnasiet Borås;59082395;Borås;1490;Enskild;Thorengruppen AB;5566139290;85;38;18;29;18;35;40;
Skyttbrinks gymnasium;60096875;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;216;146;50;20;38;52;29;
S:t Botvids gymnasium;97758137;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;470;200;122;148;53;86;26;
Södertörns Gymnasium;53400472;Botkyrka;0127;Enskild;STEG för framtiden Aktiebolag;5567538383;136;70;34;32;49;87;47;
Tullinge gymnasium;26334561;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;703;242;237;224;52;24;77;
Tumba gymnasium;40386043;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;1 344;480;452;412;46;47;67;
Bromölla gymnasium;80008140;Bromölla;1272;Kommunal;Bromölla kommun;2120000894;20;20;.;.;..;55;..;
Jämtlands Gymn, Bräcke;26864271;Bräcke;2305;Kommunal;Jämtlands Gymnasieförbund;2220001636;104;38;34;32;18;..;35;
Gymnasieutbildningen i Burlöv;73416853;Burlöv;1231;Kommunal;Burlövs kommun;2120001025;57;28;21;8;42;63;26;
Akademi Båstad Gymnasium;59483268;Båstad;1278;Kommunal;Båstads kommun;2120000944;220;112;48;60;54;31;57;
Apelrydsskolan i Båstad;32879845;Båstad;1278;Enskild;Stiftelsen Apelryd International;8024778402;217;78;71;68;64;14;68;
Utsikten, Dals-Eds gymnasium;88573795;Dals-Ed;1438;Kommunal;Dals-Eds kommun;2120001413;48;27;9;12;31;..;42;
British International School;66620411;Danderyd;0162;Enskild;Stiftelsen Borgen 2 - British International School Stockholm;8024777289;35;22;13;.;54;83;69;
Danderyds Gymnasium;30866364;Danderyd;0162;Kommunal;Danderyds kommun;2120000126;1 371;469;469;433;40;14;80;
Marina läroverket i Danderyd;82814120;Danderyd;0162;Enskild;Klart Skepp Marinteknik AB;5565160669;504;167;170;167;48;7;81;
Viktor Rydberg gy. Djursholm;45164827;Danderyd;0162;Enskild;Stiftelsen Viktor Rydbergs Skolor;8120005650;513;489;13;11;51;11;91;
Degerforsgymnasiet;10924758;Degerfors;1862;Kommunal;Degerfors kommun;2120001934;305;112;89;104;41;27;45;
Mälarögymnasiet;55711881;Ekerö;0125;Kommunal;Ekerö kommun;2120000050;34;7;27;.;59;82;..;
Eksjö Gymnasium 1;34153869;Eksjö;0686;Kommunal;Eksjö kommun;2120000589;265;94;86;85;35;30;65;
Eksjö Gymnasium 2;88259298;Eksjö;0686;Kommunal;Eksjö kommun;2120000589;287;94;99;94;71;27;58;
Nifsarpsskolan fri;44240250;Eksjö;0686;Enskild;Eksjö Fordonsutbildning AB;5565848537;242;82;80;80;24;..;39;
Vilhelm Mobergsgymnasiet;17846181;Emmaboda;0862;Kommunal;Emmaboda kommun;2120000738;157;80;45;32;36;59;38;
Westerlundska gymnasiet;75082798;Enköping;0381;Kommunal;Enköpings kommun;2120000282;1 344;494;454;396;44;30;53;
Grillska Gymnasiet Eskilstuna;23555409;Eskilstuna;0484;Enskild;Stadsmissionens Skolstiftelse;8020170794;660;213;227;220;52;25;58;
JENSEN Gymnasium Eskilstuna;88986563;Eskilstuna;0484;Enskild;Jensen Education College AB;5566358759;302;108;104;90;65;71;58;
Kunskapscompaniets Gymnasium i Eskilstuna;91333138;Eskilstuna;0484;Enskild;Kunskapscompaniet Gymnasium KCGY AB;5561383885;166;61;64;41;36;20;27;
NTI Gymnasiet Eskilstuna;30341162;Eskilstuna;0484;Enskild;NTI Gymnasiet Macro AB;5561203679;209;70;74;65;23;37;57;
Realgymnasiet Eskilstuna;39936461;Eskilstuna;0484;Enskild;Lärande i Sverige AB;5565715892;178;53;65;60;81;..;53;
Rekarnegymnasiet 1;72266906;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;614;211;205;198;31;26;54;
Rekarnegymnasiet 2;27030026;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;652;257;208;187;42;32;45;
Rinmangymnasiet RI 1N;16950252;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;455;174;158;123;27;47;50;
Rinmangymnasiet RI 2N;34637764;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;512;172;169;171;68;71;50;
Rinmangymnasiet RI3N;44957557;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;91;38;31;22;49;12;40;
S:t Eskils gymnasium;19912478;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;743;253;260;230;66;47;59;
Zetterbergsgymnasiet;69396818;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;291;98;97;96;71;42;44;
Carl Engströmgymnasiet;15077883;Eslöv;1285;Kommunal;Eslövs kommun;2120001173;725;279;248;198;39;32;47;
Brinellskolan 1;32420077;Fagersta;1982;Kommunal;Fagersta kommun;2120002106;184;84;46;54;53;57;21;
Brinellskolan 2;48434184;Fagersta;1982;Kommunal;Fagersta kommun;2120002106;260;86;78;96;32;36;38;
Brinellskolan 3;25167262;Fagersta;1982;Kommunal;Fagersta kommun;2120002106;69;17;28;24;74;25;70;
Drottning Blankas Gymnasieskola Falkenberg;58724424;Falkenberg;1382;Enskild;DBGY Kronan AB;5565668794;126;38;42;46;84;25;39;
Falkenbergs Gymnasieskola 1;95684185;Falkenberg;1382;Kommunal;Falkenbergs kommun;2120001231;115;55;34;26;35;66;24;
Falkenbergs Gymnasieskola 2;51138448;Falkenberg;1382;Kommunal;Falkenbergs kommun;2120001231;720;243;262;215;52;27;63;
Falkenbergs Gymnasieskola 3;19647256;Falkenberg;1382;Kommunal;Falkenbergs kommun;2120001231;427;158;144;125;40;14;45;
Ållebergsgymnasiet A;17008320;Falköping;1499;Kommunal;Falköpings kommun;2120001744;277;97;98;82;39;36;62;
Ållebergsgymnasiet B;56737496;Falköping;1499;Kommunal;Falköpings kommun;2120001744;297;107;92;98;39;25;53;
Ållebergsgymnasiet C;88850910;Falköping;1499;Kommunal;Falköpings kommun;2120001744;81;41;26;14;52;67;19;
Ållebergsgymnasiet E;93939982;Falköping;1499;Kommunal;Falköpings kommun;2120001744;306;98;104;104;61;18;55;
Drottning Blankas Gymnasieskola Falun;34253318;Falun;2080;Enskild;DBGY Kronan AB;5565668794;182;55;47;80;76;60;29;
Falu Frigymnasium;25720752;Falun;2080;Enskild;Falu Frigymnasium Aktiebolag;5566112834;388;130;118;140;62;43;61;
Hagströmska gymnasiet Falun;55155562;Falun;2080;Enskild;Hagströmska Gymnasiet AB;5567550461;674;242;219;213;33;16;57;
Kristinegymnasiet RO1;31533003;Falun;2080;Kommunal;Falu kommun;2120002221;390;147;126;117;71;18;60;
Kristinegymnasiet RO2;31429031;Falun;2080;Kommunal;Falu kommun;2120002221;464;187;135;142;66;15;60;
Lugnetgymnasiet RO1;23164911;Falun;2080;Kommunal;Falu kommun;2120002221;428;125;144;159;41;17;83;
Lugnetgymnasiet RO2;24008049;Falun;2080;Kommunal;Falu kommun;2120002221;224;69;70;85;17;17;45;
Lugnetgymnasiet RO3;72661886;Falun;2080;Kommunal;Falu kommun;2120002221;222;83;74;65;79;9;68;
Lugnetgymnasiet RO4;94144023;Falun;2080;Kommunal;Falu kommun;2120002221;140;108;20;12;53;39;24;
Musikkonservatoriet Falun;54481243;Falun;2080;Region;Region Dalarna;2321000180;44;18;14;12;43;..;95;
Praktiska Gymnasiet Falun;59734510;Falun;2080;Enskild;Praktiska Sverige AB;5562575786;214;77;69;68;43;17;36;
Spångbergsgymnasiet;19586169;Filipstad;1782;Kommunal;Filipstads kommun;2120001876;286;113;103;70;50;25;35;
Bergska gymnasiet Bergska skolan;17643936;Finspång;0562;Kommunal;Finspångs kommun;2120000423;95;48;30;17;33;41;20;
Bergska gymnasiet Bildningen;24273261;Finspång;0562;Kommunal;Finspångs kommun;2120000423;134;22;60;52;67;31;54;
Curt Nicolin Gymnasiet;95683850;Finspång;0562;Enskild;Curt Nicolin Gymnasiet AB;5566431044;541;185;182;174;30;19;66;
Prins Wilhelm gymnasiet;59455288;Flen;0482;Kommunal;Flens kommun;2120000332;175;64;59;52;50;75;26;
ForshagaAkademin;82163292;Forshaga;1763;Enskild;ForshagaAkademin AB;5566205737;243;85;71;87;37;12;55;
Gymnasieutbildningen i Gagnef;19599583;Gagnef;2026;Kommunal;Gagnefs kommun;2120002155;23;15;3;5;43;..;..;
Gislaveds gymnasium Innovationssektor;89888648;Gislaved;0662;Kommunal;Gislaveds kommun;2120000514;316;112;95;109;29;24;55;
Gislaveds gymnasium Samhällssektor;25679488;Gislaved;0662;Kommunal;Gislaveds kommun;2120000514;386;141;130;115;62;41;41;
Gislaveds gymnasium Utvecklingssektor;25677996;Gislaved;0662;Kommunal;Gislaveds kommun;2120000514;231;124;55;52;63;57;30;
Motorsportsgymnasiet i Anderstorp;90003262;Gislaved;0662;Enskild;Värmdö Tekniska Utbildningar Aktiebolag, Vtu;5563836757;95;42;29;24;12;23;49;
Stora Segerstad Naturbrukscentrum;88163512;Gislaved;0662;Region;Region Jönköpings Län;2321000057;167;59;48;60;34;..;43;
Gnosjöandans kunskapsc. gy;35063170;Gnosjö;0617;Kommunal;Gnosjö kommun;2120000506;278;112;83;83;48;50;37;
Gutegymnasiet;31279294;Gotland;0980;Enskild;Guteskolan AB;5567044267;228;97;64;67;49;28;45;
Wisbygymnasiet 1;60293532;Gotland;0980;Kommunal;Region Gotland;2120000803;426;146;146;134;41;9;64;
Wisbygymnasiet 2;31962829;Gotland;0980;Kommunal;Region Gotland;2120000803;332;107;118;107;74;13;63;
Wisbygymnasiet 3;24534350;Gotland;0980;Kommunal;Region Gotland;2120000803;323;187;61;75;18;21;52;
Wisbygymnasiet 4;97765838;Gotland;0980;Kommunal;Region Gotland;2120000803;220;81;71;68;55;9;58;
Wisbygymnasiet 5;50367034;Gotland;0980;Kommunal;Region Gotland;2120000803;308;80;112;116;52;4;66;
IM Grums;52054634;Grums;1764;Kommunal;Grums kommun;2120001827;14;14;.;.;..;..;..;
Lapplands Gymnasium Gällivare enhet 1;20666515;Gällivare;2523;Kommunal;Lapplands Kommunalförbund;2220000760;180;47;61;72;42;13;58;
Lapplands Gymnasium Gällivare enhet 2;37906565;Gällivare;2523;Kommunal;Lapplands Kommunalförbund;2220000760;171;68;58;45;60;29;38;
Lapplands Gymnasium Gällivare enhet 3;23063954;Gällivare;2523;Kommunal;Lapplands Kommunalförbund;2220000760;187;64;65;58;43;10;48;
Borgarskolan;21648755;Gävle;2180;Kommunal;Gävle kommun;2120002338;784;288;256;240;45;16;67;
Drottning Blankas Gymnasieskola Gävle;11111710;Gävle;2180;Enskild;DBGY Juvelen AB;5565789129;301;116;107;78;78;49;39;
IM-gymnasiet;83487818;Gävle;2180;Kommunal;Gävle kommun;2120002338;278;154;102;22;44;51;31;
NTI Vetenskapsgymnasiet Gävle;86547467;Gävle;2180;Enskild;NTI Gymnasiet Macro AB;5561203679;167;48;70;49;41;66;43;
Polhemsskolan;90551279;Gävle;2180;Kommunal;Gävle kommun;2120002338;1 175;437;370;368;40;19;60;
Praktiska Gymnasiet Gävle;93062368;Gävle;2180;Enskild;Praktiska Sverige AB;5562575786;168;63;51;54;29;40;34;
Realgymnasiet Gävle;69686851;Gävle;2180;Enskild;Lärande i Sverige AB;5565715892;372;123;118;131;74;10;53;
Thoren Business School Gävle;49616977;Gävle;2180;Enskild;Thorengruppen AB;5566139290;321;123;120;78;57;41;52;
Vasaskolan;54965510;Gävle;2180;Kommunal;Gävle kommun;2120002338;869;273;296;300;65;36;71;
Yrkesgymnasiet Gävle;90267145;Gävle;2180;Enskild;Thorengruppen AB;5566139290;183;70;55;58;26;15;39;
Amerikanska Gymnasiet Göteborg;49918856;Göteborg;1480;Enskild;Amerikanska Gymnasiet i Sverige AB;5590415591;473;181;155;137;55;41;67;
Angeredsgymnasiet 1;72998905;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;252;136;64;52;70;89;23;
Angeredsgymnasiet 2;84835666;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;248;112;66;70;50;94;33;
Angeredsgymnasiet 3;24685151;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;265;265;.;.;46;95;18;
Angeredsgymnasiet 4;25872338;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;94;29;31;34;44;20;54;
Aniaragymnasiet;69481650;Göteborg;1480;Enskild;AF Affärseffekt Framtidsskola AB;5566666789;398;154;133;111;48;67;40;
Arena Academy Göteborg;72517762;Göteborg;1480;Enskild;Edinit AB;5563114445;215;85;78;52;47;87;40;
Aspero Idrottsgymn. Göteborg;20319353;Göteborg;1480;Enskild;Aspero Friskolor AB;5566363973;260;90;87;83;39;15;68;
Bernadottegymnasiet 1;92194545;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;185;62;62;61;56;10;76;
Bernadottegymnasiet 2;38171731;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;186;64;59;63;33;12;85;
Bräckegymnasiet 1;88153340;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;172;77;59;36;6;48;31;
Bräckegymnasiet 2;94353434;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;186;73;54;59;15;24;48;
Bräckegymnasiet 4;84978846;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;223;205;18;.;33;60;30;
Burgårdens Gymnasium 1;59396229;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;275;114;95;66;89;37;44;
Burgårdens Gymnasium 2;95165649;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;192;192;.;.;67;67;29;
Burgårdens Gymnasium 3;64740897;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;142;85;24;33;23;15;71;
Burgårdens Gymnasium 4;78979604;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;246;84;80;82;72;69;41;
Burgårdens Gymnasium 5;69626109;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;229;91;79;59;73;52;40;
Burgårdens Gymnasium 6;21938009;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;170;64;63;43;89;74;27;
Center för språkintroduktion Lindholmen 1;53432700;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;242;242;.;.;45;100;15;
Designgymnasiet Göteborg;10968377;Göteborg;1480;Enskild;Designgymnasiet i Sverige AB;5569320681;142;81;61;.;80;29;69;
Donnergymnasiet;78397312;Göteborg;1480;Enskild;Donnergymnasiet AB;5565408381;750;262;262;226;61;24;83;
Drottning Blankas Gymnasieskola Göteborg Centrum;36444853;Göteborg;1480;Enskild;DBGY Kronan AB;5565668794;566;192;191;183;77;21;67;
Drottning Blankas Gymnasieskola Göteborg Gårda;10638939;Göteborg;1480;Enskild;DBGY Juvelen AB;5565789129;859;284;279;296;77;23;60;
Ester Mosessons gymnasium 1;15414001;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;118;112;4;2;52;17;63;
Ester Mosessons gymnasium 2;38311488;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;281;69;125;87;62;25;53;
GTI:s gymnasieskola;89837629;Göteborg;1480;Enskild;Göteborgs Tekniska Institut Aktiebolag;5562358993;345;127;118;100;48;79;40;
Gymnasieakademin Göteborg;12994441;Göteborg;1480;Enskild;IEAB International Education AB;5567265979;405;106;148;151;63;82;47;
Göteborgregionens tekniska gy;53660780;Göteborg;1480;Enskild;Göteborgs Tekniska College Aktiebolag;5565706768;342;103;119;120;11;17;77;
Göteborgs Högre Samskola gy.;88774402;Göteborg;1480;Enskild;Stiftelsen Göteborgs Högre Samskola;8572059197;535;177;177;181;60;11;90;
Hvitfeldtska gymnasiet 1;61701709;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;428;132;164;132;61;14;86;
Hvitfeldtska gymnasiet 2;61469192;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;249;88;84;77;51;18;80;
Hvitfeldtska gymnasiet 3;84306392;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;468;165;156;147;54;22;93;
Hvitfeldtska gymnasiet 4;28627819;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;474;165;154;155;72;11;86;
Hvitfeldtska gymnasiet 5;30086854;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;213;56;76;81;52;81;72;
Hvitfeldtska gymnasiet 6;50235617;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;239;134;52;53;56;37;50;
Ingrid Segerstedts gymnasium;48847282;Göteborg;1480;Enskild;Stiftelsen Ingrid Segerstedts Gymnasium;8572088824;394;133;132;129;78;10;88;
JENSEN Gymnasium Göteborg;38684438;Göteborg;1480;Enskild;Jensen Education College AB;5566358759;511;183;167;161;55;73;53;
Katrinelundsgymnasiet 1;31251822;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;288;96;87;105;57;50;54;
Katrinelundsgymnasiet 2;90099336;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;4;.;.;4;..;..;..;
Katrinelundsgymnasiet 3;96590873;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;14;9;1;4;..;..;..;
Katrinelundsgymnasiet 4;35647481;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;135;32;55;48;61;55;64;
Katrinelundsgymnasiet 5;39549479;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;433;159;154;120;34;35;64;
Kitas Ekonomi;73147554;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;250;63;97;90;47;12;78;
Kitas Gymnasium;69983740;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;323;128;95;100;69;24;80;
Kitas Natur;66491596;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;277;97;83;97;42;19;88;
KLARA Teoretiska Gymnasium Göteborg Postgatan;40690520;Göteborg;1480;Enskild;KLARA Gymnasium Lärande AB;5565583282;581;203;196;182;61;38;78;
KLARA Teoretiska Gymnasium Göteborg Vallgatan;75141151;Göteborg;1480;Enskild;KLARA Gymnasium Bildning AB;5565286696;353;97;122;134;69;51;62;
Kunskapsgymnasiet Göteborg;12052268;Göteborg;1480;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;348;119;120;109;62;88;44;
LBS Kreativa Gymnasiet Göteborg;53231578;Göteborg;1480;Enskild;Ljud & Bildskolan LBS AB;5564851649;505;152;179;174;25;22;68;
LBS Mediegymnasiet;97382366;Göteborg;1480;Enskild;Ljud & Bildskolan LBS AB;5564851649;286;107;92;87;59;26;66;
Lindholmens tekn gymnasium 1;11274830;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;330;127;105;98;5;14;62;
Lindholmens tekn gymnasium 2;51321260;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;248;101;77;70;..;25;53;
Lindholmens tekn gymnasium 3;96279444;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;398;128;138;132;15;43;67;
LM Engströms gymnasium;71597051;Göteborg;1480;Enskild;Peter Isaac Béens Utbildningsstiftelse;8572003666;618;194;227;197;70;7;92;
Magelungens Gymnasium Göteborg;27268498;Göteborg;1480;Enskild;Magelungen Utveckling AB;5564891447;88;61;14;13;43;..;83;
Motorbranschens Tekniska gymn.;61880907;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;291;116;100;75;20;26;41;
NTI Gymnasiet Johanneberg;79094701;Göteborg;1480;Enskild;NTI Gymnasiet Ellips AB;5565970471;476;161;160;155;19;19;81;
NTI Gymnasiet Kronhus;35006050;Göteborg;1480;Enskild;NTI Gymnasiet Macro AB;5561203679;309;106;92;111;10;47;68;
NTI Handelsgymnasiet Göteborg;53698122;Göteborg;1480;Enskild;NTI Gymnasiet Macro AB;5561203679;266;96;91;79;29;28;62;
Peabskolan Göteborg;88886610;Göteborg;1480;Enskild;Peabskolan AB;5564427432;99;33;31;35;..;21;43;
Polhemsgymnasiet 1;21505555;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;369;132;111;126;36;36;86;
Polhemsgymnasiet 2;34336190;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;452;197;129;126;40;10;78;
Polhemsgymnasiet 3;21052710;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;297;166;64;67;65;13;80;
