Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Antal elever
Valt läsår: 2023/24


Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Antal elever skolår 1;Antal elever skolår 2;Antal elever skolår 3;Andel kvinnor (%);Andel m utl bakgr (%);Andel m högutb föräldrar (%);
Ale gymnasium;17221836;Ale;1440;Kommunal;Ale kommun;2120001439;120;63;34;23;48;39;28;
Lärlingsgymnasiet i Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;286;95;109;82;27;17;39;
Alingsås Yrkesgymnasium;17474377;Alingsås;1489;Enskild;Alingsås Yrkesgymnasium AB;5567290548;76;31;21;24;38;..;49;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;362;114;140;108;28;20;70;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;288;87;103;98;68;18;68;
Alströmergymnasiet sektor 4;61004230;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;519;201;169;149;43;14;68;
Alströmergymnasiet sektor 5;67768292;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;154;125;18;11;44;34;38;
Alvesta Gymnasieskola;75459583;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;73;44;17;12;55;67;23;
Vasagymnasiet;71262305;Arboga;1984;Kommunal;Arboga kommun;2120002122;323;149;101;73;50;32;54;
Hornavanskolan;55795961;Arjeplog;2506;Kommunal;Arjeplogs kommun;2120002668;2;.;.;2;..;..;..;
Sandbackaskolan;84947634;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;243;94;71;78;45;14;53;
Estetiska skolan, gymnasiet;23517336;Arvika;1784;Enskild;Estetiska Skolan Arvika;8740020212;43;16;11;16;74;23;58;
Solbergagymnasiet;48009865;Arvika;1784;Kommunal;Arvika kommun;2120001892;267;95;86;86;54;29;69;
Taserudsgymnasiet;68518617;Arvika;1784;Kommunal;Arvika kommun;2120001892;429;157;158;114;44;22;38;
Karlfeldtgymnasiet;30376472;Avesta;2084;Kommunal;Avesta kommun;2120002262;856;353;268;235;49;27;45;
Strömkullegymnasiet;19464342;Bengtsfors;1460;Kommunal;Bengtsfors kommun;2120001470;35;8;2;25;40;37;34;
Fjällgymnasiet;60743463;Berg;2326;Kommunal;Bergs kommun;2120002502;105;29;33;43;46;24;59;
Gymnasieutbildningen i Bjuv;70011480;Bjuv;1260;Kommunal;Bjuvs kommun;2120001041;30;30;.;.;..;67;..;
Björknäsgymnasiet Enhet 1;32960825;Boden;2582;Kommunal;Bodens kommun;2120002767;155;65;54;36;61;40;41;
Björknäsgymnasiet Enhet 2;43609520;Boden;2582;Kommunal;Bodens kommun;2120002767;233;88;87;58;59;16;70;
Björknäsgymnasiet Enhet 3;41416934;Boden;2582;Kommunal;Bodens kommun;2120002767;372;143;112;117;23;8;60;
Bollebygds gymnasieskola;35225375;Bollebygd;1443;Kommunal;Bollebygds kommun;2120002973;14;14;.;.;..;..;..;
Friskolan Nytorp;21567982;Bollnäs;2183;Enskild;Friskolan Nytorp AB;5568813561;95;36;32;27;32;..;53;
Hälsingegymnasiet;91748148;Bollnäs;2183;Enskild;Hälsingegymnasiet AB;5567600886;195;63;64;68;51;33;63;
Naturlära i Hälsingland;49379603;Bollnäs;2183;Enskild;NaturLära i Hälsingland AB;5568554314;40;10;15;15;98;..;70;
Nytorps Hästgymnasium;80167319;Bollnäs;2183;Enskild;Nytorps Hästgymnasium AB;5569063455;15;.;10;5;93;..;..;
Torsbergsgymnasiet RO4;73171934;Bollnäs;2183;Kommunal;Hälsinglands Utbildningsförbund;2220003111;294;121;91;82;63;33;55;
Torsbergsgymnasiet RO5;83474173;Bollnäs;2183;Kommunal;Hälsinglands Utbildningsförbund;2220003111;319;123;118;78;46;17;35;
Hagagymnasiet;74434644;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;493;191;148;154;59;27;50;
Hushags-Erikslundsgymnasiet;68769650;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;563;214;188;161;19;8;44;
Introduktionsprogrammen;19100658;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;187;99;57;31;52;58;25;
NTI Gymnasiet Borlänge;42022406;Borlänge;2081;Enskild;NTI Gymnasiet Helix AB;5566747290;107;35;40;32;19;21;48;
Realgymnasiet i Borlänge;11858071;Borlänge;2081;Enskild;Lärande i Sverige AB;5565715892;134;45;43;46;84;..;51;
Rytmus Borlänge;31322470;Borlänge;2081;Enskild;Rytmus AB;5564648979;126;47;34;45;52;10;57;
Soltorgsgymnasiet;65192707;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;485;164;170;151;44;27;71;
Almåsgymnasiet A;18425335;Borås;1490;Kommunal;Borås kommun;2120001561;257;128;65;64;65;44;35;
