Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Antal elever
Valt läsår: 2020/21


Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Antal elever skolår 1;Antal elever skolår 2;Antal elever skolår 3;Andel kvinnor (%);Andel m utl bakgr (%);Andel m högutb föräldrar (%);
Ale gymnasium;17221836;Ale;1440;Kommunal;Ale;2120001439;91;39;27;25;43;49;25;
Lärlingsgymnasiet i Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;280;103;91;86;26;17;27;
Alingsås Yrkesgymnasium;17474377;Alingsås;1489;Enskild;Alingsås Yrkesgymnasium AB;5567290548;61;23;22;16;43;18;33;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås;2120001553;357;128;104;125;34;16;69;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås;2120001553;296;131;83;82;66;16;62;
Alströmergymnasiet sektor 4;61004230;Alingsås;1489;Kommunal;Alingsås;2120001553;329;108;122;99;41;12;56;
Alströmergymnasiet sektor 5;67768292;Alingsås;1489;Kommunal;Alingsås;2120001553;115;82;28;5;40;49;30;
Alströmergymnasiet Sektor 6;25051158;Alingsås;1489;Kommunal;Alingsås;2120001553;64;18;25;21;77;..;73;
Allbo Lärcenter gymnasium;75459583;Alvesta;0764;Kommunal;Alvesta;2120000639;82;34;23;25;55;85;16;
Vasagymnasiet;71262305;Arboga;1984;Kommunal;Arboga;2120002122;356;152;104;100;49;33;47;
Hornavanskolan;55795961;Arjeplog;2506;Kommunal;Arjeplog;2120002668;79;23;35;21;43;30;37;
Sandbackaskolan;84947634;Arvidsjaur;2505;Kommunal;Arvidsjaur;2120002650;179;65;66;48;46;15;43;
Estetiska skolan, gymnasiet;23517336;Arvika;1784;Enskild;Estetiska Skolan Arvika;8740020212;51;21;21;9;73;22;57;
Solbergagymnasiet;48009865;Arvika;1784;Kommunal;Arvika;2120001892;380;134;116;130;54;21;63;
Taserudsgymnasiet;68518617;Arvika;1784;Kommunal;Arvika;2120001892;465;157;163;145;38;29;31;
Karlfeldtgymnasiet;30376472;Avesta;2084;Kommunal;Avesta;2120002262;744;322;206;216;41;33;41;
Strömkullegymnasiet;19464342;Bengtsfors;1460;Kommunal;Bengtsfors;2120001470;160;43;53;64;48;60;38;
Fjällgymnasiet;60743463;Berg;2326;Kommunal;Berg;2120002502;111;39;32;40;51;22;46;
Björknäsgymnasiet Enhet 1;32960825;Boden;2582;Kommunal;Boden;2120002767;66;26;28;12;36;56;20;
Björknäsgymnasiet Enhet 2;43609520;Boden;2582;Kommunal;Boden;2120002767;258;97;67;94;57;12;71;
Björknäsgymnasiet Enhet 3;41416934;Boden;2582;Kommunal;Boden;2120002767;289;114;86;89;24;11;49;
Björknäsgymnasiet Enhet 4;97968599;Boden;2582;Kommunal;Boden;2120002767;168;63;48;57;67;8;71;
Bollebygds gymnasieskola;35225375;Bollebygd;1443;Kommunal;Bollebygd;2120002973;8;5;3;.;..;..;..;
