Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Antal elever
Valt läsår: 2020/21


Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Antal elever skolår 1;Antal elever skolår 2;Antal elever skolår 3;Andel kvinnor (%);Andel m utl bakgr (%);Andel m högutb föräldrar (%);
Friskolan Nytorp;21567982;Bollnäs;2183;Enskild;Friskolan Nytorp AB;5568813561;78;29;24;25;19;..;33;
Hälsingegymnasiet;91748148;Bollnäs;2183;Enskild;Hälsingegymnasiet AB;5567600886;292;100;83;109;45;30;57;
Naturlära i Hälsingland;49379603;Bollnäs;2183;Enskild;NaturLära i Hälsingland AB;5568554314;37;15;11;11;100;..;43;
Nytorps Hästgymnasium;80167319;Bollnäs;2183;Enskild;Nytorps Hästgymnasium AB;5569063455;27;8;9;10;96;..;..;
Torsbergsgymnasiet RO4;73171934;Bollnäs;2183;Kommunal;Hälsinglands Utbildningsförbund;2220003111;281;95;107;79;66;36;41;
Torsbergsgymnasiet RO5;83474173;Bollnäs;2183;Kommunal;Hälsinglands Utbildningsförbund;2220003111;271;104;88;79;47;19;34;
Erikslundsgymnasiet;21866405;Borlänge;2081;Kommunal;Borlänge;2120002239;200;85;63;52;17;13;42;
Hagagymnasiet;74434644;Borlänge;2081;Kommunal;Borlänge;2120002239;609;214;210;185;60;28;43;
Helixgymnasiet Borlänge;42022406;Borlänge;2081;Enskild;NTI Gymnasiet Helix AB;5566747290;220;68;76;76;29;29;51;
Hushagsgymnasiet;88445871;Borlänge;2081;Kommunal;Borlänge;2120002239;333;127;104;102;23;9;45;
Introduktionsprogrammen;19100658;Borlänge;2081;Kommunal;Borlänge;2120002239;198;104;55;39;41;63;21;
Rytmus Borlänge;31322470;Borlänge;2081;Enskild;Rytmus AB;5564648979;143;56;41;46;52;9;55;
Soltorgsgymnasiet;65192707;Borlänge;2081;Kommunal;Borlänge;2120002239;513;162;173;178;56;20;72;
Almåsgymnasiet A;18425335;Borås;1490;Kommunal;Borås;2120001561;239;69;85;85;74;41;30;
Almåsgymnasiet B;93281974;Borås;1490;Kommunal;Borås;2120001561;238;76;92;70;69;65;27;
Almåsgymnasiet C;23424275;Borås;1490;Kommunal;Borås;2120001561;249;106;77;66;60;39;32;
Bäckängsgymnasiet A;43634528;Borås;1490;Kommunal;Borås;2120001561;474;150;157;167;58;35;76;
Bäckängsgymnasiet B;36263479;Borås;1490;Kommunal;Borås;2120001561;527;178;174;175;72;22;69;
Bäckängsgymnasiet C;56679384;Borås;1490;Kommunal;Borås;2120001561;210;54;72;84;78;15;57;
Bäckängsgymnasiet D;30538202;Borås;1490;Kommunal;Borås;2120001561;181;85;53;43;65;42;50;
Drottning Blankas Gymnasieskola Borås;19150273;Borås;1490;Enskild;DBGY Kronan AB;5565668794;192;72;55;65;72;45;39;
LBS Kreativa Gymnasiet Borås;69018222;Borås;1490;Enskild;Ljud & Bildskolan Lbs AB;5564851649;219;79;77;63;19;18;56;
Praktiska Gymnasiet Borås;25624692;Borås;1490;Enskild;Praktiska Sverige AB;5562575786;171;41;66;64;13;50;28;
Realgymnasiet Borås;88534520;Borås;1490;Enskild;Lärande i Sverige AB;5565715892;140;49;39;52;76;8;46;
Sven Eriksonsgymnasiet A;12889940;Borås;1490;Kommunal;Borås;2120001561;375;118;139;118;26;23;70;
Sven Eriksonsgymnasiet B;16554575;Borås;1490;Kommunal;Borås;2120001561;231;105;76;50;40;60;36;
Sven Eriksonsgymnasiet C;34076477;Borås;1490;Kommunal;Borås;2120001561;651;236;227;188;48;25;55;
Viskastrandsgymnasiet A;25356960;Borås;1490;Kommunal;Borås;2120001561;250;81;83;86;17;10;36;
Viskastrandsgymnasiet B;64284020;Borås;1490;Kommunal;Borås;2120001561;323;143;101;79;23;21;41;
Viskastrandsgymnasiet C;98132436;Borås;1490;Kommunal;Borås;2120001561;277;116;89;72;8;17;35;
Viskastrandsgymnasiet D;67692516;Borås;1490;Kommunal;Borås;2120001561;82;37;45;.;22;63;20;
Viskastrandsgymnasiet F;16050914;Borås;1490;Kommunal;Borås;2120001561;14;7;7;.;..;..;..;
Yrkesgymnasiet Borås;59082395;Borås;1490;Enskild;Thorengruppen AB;5566139290;28;28;.;.;..;43;..;
Skyttbrinks gymnasium;60096875;Botkyrka;0127;Kommunal;Botkyrka;2120002882;211;90;70;51;39;56;24;
S:t Botvids gymnasium;97758137;Botkyrka;0127;Kommunal;Botkyrka;2120002882;476;157;212;107;54;89;29;
Södertörns Gymnasium;53400472;Botkyrka;0127;Enskild;STEG för framtiden Aktiebolag;5567538383;80;30;21;29;49;86;40;
Tullinge gymnasium;26334561;Botkyrka;0127;Kommunal;Botkyrka;2120002882;729;280;235;214;50;27;70;
Tumba gymnasium;40386043;Botkyrka;0127;Kommunal;Botkyrka;2120002882;1 339;497;436;406;51;46;60;
Furubygg;29324709;Bromölla;1272;Kommunal;Sölvesborgs-Bromöllas Kommunalförbund;2220001222;52;19;17;16;..;..;33;
Jämtlands Gymn, Bräcke 4A;26864271;Bräcke;2305;Kommunal;Jämtlands Gymnasieförbund;2220001636;107;42;38;27;14;12;29;
Gymnasieutbildningen i Burlöv;73416853;Burlöv;1231;Kommunal;Burlöv;2120001025;51;24;20;7;33;84;25;
Akademi Båstad Gymnasium;59483268;Båstad;1278;Kommunal;Båstad;2120000944;196;81;60;55;45;41;51;
Apelrydsskolan;33685428;Båstad;1278;Enskild;Stiftelsen Apelrydsskolan;8024247234;130;51;48;31;72;15;56;
Apelrydsskolan i Båstad;32879845;Båstad;1278;Enskild;Stiftelsen Apelryd International;8024778402;80;32;25;23;53;..;58;
Utsikten, Dals-Eds gymnasium;88573795;Dals-Ed;1438;Kommunal;Dals-Ed;2120001413;72;27;24;21;35;15;51;
British International School;66620411;Danderyd;0162;Enskild;Stiftelsen Borgen 2 - British International School Stockholm;8024777289;14;7;7;.;..;71;71;
Danderyds Gymnasium;30866364;Danderyd;0162;Kommunal;Danderyd;2120000126;1 232;415;403;414;38;14;81;
Marina läroverket i Danderyd;82814120;Danderyd;0162;Enskild;Klart Skepp Marinteknik AB;5565160669;505;172;172;161;45;4;80;
Viktor Rydberg gy. Djursholm;45164827;Danderyd;0162;Enskild;Stiftelsen Viktor Rydbergs Skolor;8120005650;521;188;161;172;56;10;92;
Möckelngymnasiet Degerfors;10924758;Degerfors;1862;Kommunal;Karlskoga;2120001991;290;111;98;81;38;26;37;
Individuella Gymnasiet;55711881;Ekerö;0125;Kommunal;Ekerö;2120000050;35;9;17;9;54;71;..;
Eksjö Gymnasium 1;34153869;Eksjö;0686;Kommunal;Eksjö;2120000589;302;98;116;88;37;44;53;
Eksjö Gymnasium 2;88259298;Eksjö;0686;Kommunal;Eksjö;2120000589;181;58;55;68;61;19;59;
Eksjö Gymnasium 3;73098153;Eksjö;0686;Kommunal;Eksjö;2120000589;66;24;15;27;88;23;33;
Nifsarpsskolan fri;44240250;Eksjö;0686;Enskild;Eksjö Fordonsutbildning AB;5565848537;228;83;72;73;18;8;32;
Vilhelm Mobergsgymnasiet;17846181;Emmaboda;0862;Kommunal;Emmaboda;2120000738;207;64;75;68;43;62;35;
Westerlundska gymnasiet;75082798;Enköping;0381;Kommunal;Enköping;2120000282;1 319;491;446;382;44;29;47;
Grillska Gymnasiet Eskilstuna;23555409;Eskilstuna;0484;Enskild;Stadsmissionens Skolstiftelse;8020170794;681;225;228;228;50;21;58;
JENSEN Gymnasium Eskilstuna;88986563;Eskilstuna;0484;Enskild;Jensen Education College AB;5566358759;66;66;.;.;77;56;56;
Kunskapscompaniets Gymnasium i Eskilstuna;91333138;Eskilstuna;0484;Enskild;Kunskapscompaniet Gymnasium KCGY AB;5561383885;188;74;62;52;33;32;23;
NTI Gymnasiet Eskilstuna;30341162;Eskilstuna;0484;Enskild;NTI Gymnasiet Macro AB;5561203679;151;53;46;52;9;28;52;
Realgymnasiet Eskilstuna;39936461;Eskilstuna;0484;Enskild;Lärande i Sverige AB;5565715892;145;58;51;36;88;10;55;
Rekarnegymnasiet 1;72266906;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;677;238;225;214;35;28;42;
Rekarnegymnasiet 2;27030026;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;783;298;265;220;41;45;37;
Rinmangymnasiet RI 1;16950252;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;618;222;195;201;27;47;52;
Rinmangymnasiet RI 2;34637764;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;561;202;180;179;63;55;51;
S:t Eskils gymnasium 1;19912478;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;554;173;187;194;61;43;60;
S:t Eskils gymnasium 2;73255276;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;234;77;81;76;61;63;28;
Carl Engströmgymnasiet;15077883;Eslöv;1285;Kommunal;Eslöv;2120001173;716;282;244;190;41;39;39;
NVU, Brinellskolan 1;32420077;Fagersta;1982;Kommunal;Norra Västmanlands Utbildningsförbund;2220000927;262;99;102;61;29;43;20;
NVU, Brinellskolan 2;48434184;Fagersta;1982;Kommunal;Norra Västmanlands Utbildningsförbund;2220000927;265;82;91;92;59;35;43;
Drottning Blankas Gymnasieskola Falkenberg;58724424;Falkenberg;1382;Enskild;DBGY Kronan AB;5565668794;143;42;51;50;75;36;34;
Falkenbergs Gymnasieskola 1;95684185;Falkenberg;1382;Kommunal;Falkenberg;2120001231;149;68;61;20;44;64;16;
Falkenbergs Gymnasieskola 2;51138448;Falkenberg;1382;Kommunal;Falkenberg;2120001231;234;88;65;81;46;25;51;
Falkenbergs Gymnasieskola 3;19647256;Falkenberg;1382;Kommunal;Falkenberg;2120001231;216;82;58;76;44;18;35;
Falkenbergs Gymnasieskola 4;56421429;Falkenberg;1382;Kommunal;Falkenberg;2120001231;189;66;59;64;15;20;52;
Falkenbergs Gymnasieskola 5;39911065;Falkenberg;1382;Kommunal;Falkenberg;2120001231;226;64;90;72;58;32;51;
Falkenbergs Gymnasieskola 6;89068742;Falkenberg;1382;Kommunal;Falkenberg;2120001231;216;74;80;62;69;25;68;
Ållebergsgymnasiet A;17008320;Falköping;1499;Kommunal;Falköping;2120001744;256;75;90;91;35;28;69;
Ållebergsgymnasiet B;56737496;Falköping;1499;Kommunal;Falköping;2120001744;282;87;97;98;44;24;54;
Ållebergsgymnasiet C;88850910;Falköping;1499;Kommunal;Falköping;2120001744;198;96;54;48;49;71;21;
Ållebergsgymnasiet E;93939982;Falköping;1499;Kommunal;Falköping;2120001744;305;111;109;85;67;18;52;
Drottning Blankas Gymnasieskola Falun;34253318;Falun;2080;Enskild;DBGY Kronan AB;5565668794;293;103;92;98;70;46;30;
Falu Frigymnasium;25720752;Falun;2080;Enskild;Falu Frigymnasium Aktiebolag;5566112834;378;131;113;134;66;33;57;
Hagströmska gymnasiet Falun;55155562;Falun;2080;Enskild;Hagströmska Gymnasiet AB;5567550461;692;224;205;263;26;12;56;
Kristinegymnasiet RO1;31533003;Falun;2080;Kommunal;Falun;2120002221;339;96;133;110;69;17;55;
Kristinegymnasiet RO2;31429031;Falun;2080;Kommunal;Falun;2120002221;398;155;133;110;66;19;50;
Lugnetgymnasiet RO1;23164911;Falun;2080;Kommunal;Falun;2120002221;455;157;157;141;46;14;78;
Lugnetgymnasiet RO2;24008049;Falun;2080;Kommunal;Falun;2120002221;229;79;79;71;16;14;45;
Lugnetgymnasiet RO3;72661886;Falun;2080;Kommunal;Falun;2120002221;205;80;69;56;80;9;61;
Lugnetgymnasiet RO4;94144023;Falun;2080;Kommunal;Falun;2120002221;160;139;13;8;38;55;21;
Musikkonservatoriet Falun;54481243;Falun;2080;Region;Region Dalarna;2321000180;53;20;23;10;47;..;87;
Praktiska Gymnasiet Falun;59734510;Falun;2080;Enskild;Praktiska Sverige AB;5562575786;175;79;59;37;39;18;31;
Spångbergsgymnasiet;19586169;Filipstad;1782;Kommunal;Filipstad;2120001876;336;100;124;112;40;41;26;
Bergska gymnasiet Bergska skolan;17643936;Finspång;0562;Kommunal;Finspång;2120000423;95;79;7;9;36;56;12;
Bergska gymnasiet Bildningen;24273261;Finspång;0562;Kommunal;Finspång;2120000423;255;82;92;81;54;29;43;
Curt Nicolin-gymnasiet;95683850;Finspång;0562;Enskild;Curt Nicolin Gymnasiet AB;5566431044;550;183;180;187;28;15;63;
Prins Wilhelm gymnasiet;59455288;Flen;0482;Kommunal;Flen;2120000332;227;95;76;56;46;72;24;
ForshagaAkademin;82163292;Forshaga;1763;Enskild;ForshagaAkademin AB;5566205737;235;77;83;75;37;13;45;
Gymnasieutbildningen i Gagnef;19599583;Gagnef;2026;Kommunal;Gagnef;2120002155;18;15;3;.;..;..;..;
Gislaveds gymnasium Ekonomisk sektor;25679488;Gislaved;0662;Kommunal;Gislaved;2120000514;366;119;131;116;62;34;40;
Gislaveds gymnasium NEO sektor;25677996;Gislaved;0662;Kommunal;Gislaved;2120000514;320;166;81;73;68;52;36;
Gislaveds gymnasium Teknisk sektor;89888648;Gislaved;0662;Kommunal;Gislaved;2120000514;340;164;85;91;17;35;38;
Motorsportsgymnasiet i Anderstorp;90003262;Gislaved;0662;Enskild;Värmdö Tekniska Utbildningar Aktiebolag, Vtu;5563836757;75;32;19;24;..;..;48;
Stora Segerstad Naturbrukscentrum;88163512;Gislaved;0662;Region;Region Jönköpings Län;2321000057;182;68;61;53;28;..;38;
Introduktionsprogram Gnesta kommun;35191755;Gnesta;0461;Kommunal;Gnesta;2120002965;8;5;1;2;..;..;..;
Gnosjöandans kunskapsc. gy;35063170;Gnosjö;0617;Kommunal;Gnosjö;2120000506;281;111;86;84;49;51;33;
Gutegymnasiet;31279294;Gotland;0980;Enskild;Guteskolan AB;5567044267;236;77;69;90;41;35;37;
Wisbygymnasiet;36782335;Gotland;0980;Kommunal;Gotland;2120000803;1 548;589;480;479;47;11;54;
Introduktionsprogrammet Språkintroduktion;42892954;Gullspång;1447;Kommunal;Gullspång;2120001637;6;3;2;1;..;..;..;
Lapplands Gymnasium Gällivare enhet 1;20666515;Gällivare;2523;Kommunal;Lapplands Kommunalförbund;2220000760;176;59;53;64;30;11;52;
Lapplands Gymnasium Gällivare enhet 2;37906565;Gällivare;2523;Kommunal;Lapplands Kommunalförbund;2220000760;191;74;65;52;51;24;37;
Lapplands Gymnasium Gällivare enhet 3;23063954;Gällivare;2523;Kommunal;Lapplands Kommunalförbund;2220000760;178;56;58;64;43;11;42;
Borgarskolan;21648755;Gävle;2180;Kommunal;Gävle;2120002338;812;259;281;272;44;19;58;
Drottning Blankas Gymnasieskola Gävle;11111710;Gävle;2180;Enskild;DBGY Juvelen AB;5565789129;240;84;94;62;78;43;30;
IM-gymnasiet;83487818;Gävle;2180;Kommunal;Gävle;2120002338;386;310;68;8;44;69;17;
NTI Vetenskapsgymnasiet Gävle;86547467;Gävle;2180;Enskild;NTI Gymnasiet Macro AB;5561203679;124;57;44;23;34;44;48;
Polhemsskolan;90551279;Gävle;2180;Kommunal;Gävle;2120002338;1 262;451;401;410;39;21;52;
Praktiska Gymnasiet Gävle;93062368;Gävle;2180;Enskild;Praktiska Sverige AB;5562575786;145;73;38;34;24;54;26;
Realgymnasiet Gävle;69686851;Gävle;2180;Enskild;Lärande i Sverige AB;5565715892;412;128;154;130;63;15;44;
Thoren Business School Gävle;49616977;Gävle;2180;Enskild;Thorengruppen AB;5566139290;285;89;109;87;64;22;52;
Vasaskolan;54965510;Gävle;2180;Kommunal;Gävle;2120002338;989;357;340;292;66;31;69;
Yrkesgymnasiet Gävle;90267145;Gävle;2180;Enskild;Thorengruppen AB;5566139290;193;83;58;52;26;20;35;
Amerikanska Gymnasiet;49918856;Göteborg;1480;Enskild;Amerikanska Gymnasiet i Sverige AB;5590415591;343;172;169;2;49;27;72;
Angeredsgymnasiet 1;72998905;Göteborg;1480;Kommunal;Göteborg;2120001355;283;115;101;67;57;94;17;
Angeredsgymnasiet 2;84835666;Göteborg;1480;Kommunal;Göteborg;2120001355;287;107;94;86;60;93;30;
Angeredsgymnasiet 3;24685151;Göteborg;1480;Kommunal;Göteborg;2120001355;273;253;15;5;52;98;18;
Angeredsgymnasiet 4;25872338;Göteborg;1480;Kommunal;Göteborg;2120001355;84;24;35;25;50;23;43;
Aniaragymnasiet;69481650;Göteborg;1480;Enskild;AF Affärseffekt Framtidsskola AB;5566666789;318;107;107;104;46;63;37;
Aspero Idrottsgymn. Göteborg;20319353;Göteborg;1480;Enskild;Aspero Friskolor AB;5566363973;247;84;81;82;28;23;59;
Bernadottegymnasiet;92194545;Göteborg;1480;Kommunal;Göteborg;2120001355;346;127;124;95;40;14;73;
Bräckegymnasiet 1;88153340;Göteborg;1480;Kommunal;Göteborg;2120001355;193;93;63;37;8;53;27;
Bräckegymnasiet 2;94353434;Göteborg;1480;Kommunal;Göteborg;2120001355;195;50;67;78;6;33;39;
Bräckegymnasiet 4;84978846;Göteborg;1480;Kommunal;Göteborg;2120001355;208;129;60;19;25;69;23;
Burgårdens Gymnasium 1;59396229;Göteborg;1480;Kommunal;Göteborg;2120001355;232;79;84;69;94;37;36;
Burgårdens Gymnasium 2;95165649;Göteborg;1480;Kommunal;Göteborg;2120001355;167;112;34;21;74;63;25;
Burgårdens Gymnasium 3;64740897;Göteborg;1480;Kommunal;Göteborg;2120001355;129;97;27;5;50;63;37;
Burgårdens Gymnasium 4;78979604;Göteborg;1480;Kommunal;Göteborg;2120001355;246;119;65;62;57;57;43;
Burgårdens Gymnasium 5;69626109;Göteborg;1480;Kommunal;Göteborg;2120001355;274;98;85;91;69;46;41;
Center för språkintroduktion Lindholmen 1;53432700;Göteborg;1480;Kommunal;Göteborg;2120001355;257;158;74;25;46;99;13;
Donnergymnasiet;78397312;Göteborg;1480;Enskild;Donnergymnasiet AB;5565408381;631;227;212;192;61;21;83;
Drottning Blankas Gymnasieskola Göteborg Centrum;36444853;Göteborg;1480;Enskild;DBGY Kronan AB;5565668794;507;193;171;143;84;21;59;
Drottning Blankas Gymnasieskola Göteborg Gårda;10638939;Göteborg;1480;Enskild;DBGY Juvelen AB;5565789129;327;157;86;84;71;35;49;
Ester Mosessons gymnasium 1;15414001;Göteborg;1480;Kommunal;Göteborg;2120001355;282;103;90;89;49;17;49;
Ester Mosessons gymnasium 2;38311488;Göteborg;1480;Kommunal;Göteborg;2120001355;108;47;43;18;62;52;37;
Framtidsgymnasiet Göteborg;16819383;Göteborg;1480;Enskild;Framtidsgymnasiet i Göteborg Aktiebolag;5564781606;347;127;111;109;14;90;16;
GTI:s gymnasieskola;89837629;Göteborg;1480;Enskild;Göteborgs Tekniska Institut Aktiebolag;5562358993;392;165;112;115;48;83;34;
Gymnasieakademin;12994441;Göteborg;1480;Enskild;IEAB International Education AB;5567265979;423;97;154;172;67;77;39;
Göteborgregionens tekniska gy;53660780;Göteborg;1480;Enskild;Göteborgs Tekniska College Aktiebolag;5565706768;448;157;148;143;15;17;73;
Göteborgs Högre Samskola gy.;88774402;Göteborg;1480;Enskild;Stiftelsen Göteborgs Högre Samskola;8572059197;554;197;179;178;63;14;85;
Hvitfeldtska gymnasiet 1;61701709;Göteborg;1480;Kommunal;Göteborg;2120001355;414;128;154;132;64;19;77;
Hvitfeldtska gymnasiet 2;61469192;Göteborg;1480;Kommunal;Göteborg;2120001355;248;85;85;78;55;19;77;
Hvitfeldtska gymnasiet 3;84306392;Göteborg;1480;Kommunal;Göteborg;2120001355;463;152;154;157;54;24;86;
Hvitfeldtska gymnasiet 4;28627819;Göteborg;1480;Kommunal;Göteborg;2120001355;402;124;153;125;76;18;80;
Hvitfeldtska gymnasiet 5;30086854;Göteborg;1480;Kommunal;Göteborg;2120001355;207;56;88;63;64;69;62;
Hvitfeldtska gymnasiet 6;50235617;Göteborg;1480;Kommunal;Göteborg;2120001355;200;99;51;50;60;32;47;
IHGR-gymnasiet;26627862;Göteborg;1480;Kommunal;Göteborg;2120001355;350;113;111;126;57;65;75;
Ingrid Segerstedts gymnasium;48847282;Göteborg;1480;Enskild;Stiftelsen Ingrid Segerstedts Gymnasium;8572088824;388;127;129;132;87;9;82;
International IT College of Sweden Gothenburg;72517762;Göteborg;1480;Enskild;Edinit AB;5563114445;140;72;39;29;40;85;38;
JENSEN Gymnasium Göteborg;38684438;Göteborg;1480;Enskild;Jensen Education College AB;5566358759;445;138;149;158;51;68;52;
Katrinelundsgymnasiet 1;31251822;Göteborg;1480;Kommunal;Göteborg;2120001355;286;99;94;93;54;55;54;
Katrinelundsgymnasiet 2;90099336;Göteborg;1480;Kommunal;Göteborg;2120001355;9;.;2;7;..;..;..;
Katrinelundsgymnasiet 3;96590873;Göteborg;1480;Kommunal;Göteborg;2120001355;350;152;85;113;80;73;26;
Katrinelundsgymnasiet 4;35647481;Göteborg;1480;Kommunal;Göteborg;2120001355;255;69;99;87;52;61;60;
Katrinelundsgymnasiet 5;39549479;Göteborg;1480;Kommunal;Göteborg;2120001355;388;155;110;123;32;42;61;
Kitas Ekonomi;73147554;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;256;62;95;99;53;11;81;
Kitas Frisörgymnasium;65752105;Göteborg;1480;Enskild;Kimuo frisörutbildning AB;5567385330;18;4;.;14;94;..;..;
Kitas Gymnasium;69983740;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;328;147;91;90;68;19;76;
Kitas Natur;66491596;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;290;96;93;101;43;19;88;
KLARA Teoretiska Gymnasium Göteborg Postgatan;40690520;Göteborg;1480;Enskild;KLARA Gymnasium Lärande AB;5565583282;588;200;196;192;64;26;80;
KLARA Teoretiska Gymnasium Göteborg Vallgatan;75141151;Göteborg;1480;Enskild;KLARA Gymnasium Bildning AB;5565286696;350;105;123;122;70;51;60;
Kunskapsgymnasiet Göteborg;12052268;Göteborg;1480;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;349;104;121;124;54;87;45;
L M Engströms gymnasium;71597051;Göteborg;1480;Enskild;Peter Isaac Béens Utbildningsstiftelse;8572003666;542;161;188;193;72;8;88;
LBS Kreativa Gymnasiet Göteborg;53231578;Göteborg;1480;Enskild;Ljud & Bildskolan Lbs AB;5564851649;537;190;177;170;17;18;67;
LBS Mediegymnasiet;97382366;Göteborg;1480;Enskild;NTI Gymnasiet Macro AB;5561203679;396;112;128;156;58;26;55;
Lindholmens tekn gymnasium 1;11274830;Göteborg;1480;Kommunal;Göteborg;2120001355;314;112;95;107;3;27;50;
Lindholmens tekn gymnasium 2;51321260;Göteborg;1480;Kommunal;Göteborg;2120001355;235;105;59;71;..;26;38;
Lindholmens tekn gymnasium 3;96279444;Göteborg;1480;Kommunal;Göteborg;2120001355;329;122;114;93;16;25;71;
Magelungens Gymnasium Göteborg;27268498;Göteborg;1480;Enskild;Magelungen Utveckling AB;5564891447;92;31;29;32;45;12;66;
Motorbranschens Tekniska gymn.;61880907;Göteborg;1480;Kommunal;Göteborg;2120001355;320;118;104;98;13;35;27;
NTI Gymnasiet Johanneberg;79094701;Göteborg;1480;Enskild;NTI Gymnasiet Ellips AB;5565970471;463;156;155;152;21;17;79;
NTI Gymnasiet Kronhus;35006050;Göteborg;1480;Enskild;NTI Gymnasiet Macro AB;5561203679;562;218;169;175;24;31;65;
Peabskolan Göteborg;88886610;Göteborg;1480;Enskild;Peabskolan AB;5564427432;105;39;39;27;..;30;33;
Polhemsgymnasiet 1;21505555;Göteborg;1480;Kommunal;Göteborg;2120001355;387;131;132;124;45;30;83;
Polhemsgymnasiet 2;34336190;Göteborg;1480;Kommunal;Göteborg;2120001355;394;130;131;133;49;11;75;
Polhemsgymnasiet 3;21052710;Göteborg;1480;Kommunal;Göteborg;2120001355;383;127;130;126;60;12;82;
Praktiska Gymnasiet Göteborg;88556189;Göteborg;1480;Enskild;Praktiska Sverige AB;5562575786;217;94;49;74;32;59;26;
Realgymnasiet Göteborg;35236491;Göteborg;1480;Enskild;Lärande i Sverige AB;5565715892;258;89;99;70;83;12;52;
Rytmus Göteborg;69739484;Göteborg;1480;Enskild;Rytmus AB;5564648979;280;99;93;88;55;8;73;
Schillerska gymnasiet 1;92887917;Göteborg;1480;Kommunal;Göteborg;2120001355;417;162;138;117;84;18;78;
Schillerska gymnasiet 2;88834120;Göteborg;1480;Kommunal;Göteborg;2120001355;251;78;109;64;45;39;54;
Schillerska gymnasiet 3;36748805;Göteborg;1480;Kommunal;Göteborg;2120001355;445;192;131;122;62;38;64;
Sigrid Rudebecks gymnasium;19207279;Göteborg;1480;Enskild;Aktiebolaget Sigrid Rudebecks Skola;5563571248;479;155;148;176;71;10;92;
