Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Antal elever
Valt läsår: 2018/19


Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Antal elever skolår 1;Antal elever skolår 2;Antal elever skolår 3;Andel kvinnor (%);Andel m utl bakgr (%);Andel m högutb föräldrar (%);
Ale gymnasium;17221836;Ale;1440;Kommunal;Ale;2120001439;69;25;28;16;22;59;..;
Lärlingsgymnasiet i Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;240;89;79;72;24;21;29;
Alingsås Yrkesgymnasium;17474377;Alingsås;1489;Enskild;Alingsås Yrkesgymnasium AB;5567290548;62;24;21;17;48;..;42;
Alströmergymnasiet sektor 1;74776778;Alingsås;1489;Kommunal;Alingsås;2120001553;199;68;57;74;48;15;59;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås;2120001553;342;135;110;97;19;20;50;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås;2120001553;259;77;82;100;64;22;50;
Alströmergymnasiet sektor 4;61004230;Alingsås;1489;Kommunal;Alingsås;2120001553;257;93;96;68;52;22;65;
Alströmergymnasiet sektor 5;67768292;Alingsås;1489;Kommunal;Alingsås;2120001553;110;109;.;1;32;74;12;
Allbo Lärcenter;75459583;Alvesta;0764;Kommunal;Alvesta;2120000639;73;27;16;30;56;86;14;
Vasagymnasiet;71262305;Arboga;1984;Kommunal;Arboga;2120002122;383;161;123;99;47;33;49;
Hornavanskolan;55795961;Arjeplog;2506;Kommunal;Arjeplog;2120002668;78;33;22;23;35;49;33;
Sandbackaskolan;84947634;Arvidsjaur;2505;Kommunal;Arvidsjaur;2120002650;204;72;55;77;37;32;31;
Estetiska skolan, gymnasiet;23517336;Arvika;1784;Enskild;Estetiska Skolan Arvika;8740020212;49;10;16;23;80;..;51;
Solbergagymnasiet;48009865;Arvika;1784;Kommunal;Arvika;2120001892;358;133;110;115;58;20;65;
Taserudsgymnasiet;68518617;Arvika;1784;Kommunal;Arvika;2120001892;465;167;154;144;34;28;25;
Karlfeldtgymnasiet ro 1;82840198;Avesta;2084;Kommunal;Avesta;2120002262;313;157;99;57;48;51;32;
Karlfeldtgymnasiet ro 2;18208087;Avesta;2084;Kommunal;Avesta;2120002262;247;103;66;78;23;23;45;
Karlfeldtgymnasiet ro 3;89982804;Avesta;2084;Kommunal;Avesta;2120002262;197;69;68;60;54;17;38;
Strömkullegymnasiet;19464342;Bengtsfors;1460;Kommunal;Bengtsfors;2120001470;205;86;65;54;48;61;34;
Fjällgymnasiet;60743463;Berg;2326;Kommunal;Berg;2120002502;114;35;32;47;39;43;32;
Gymnasieutbildningen i Bjuv;70011480;Bjuv;1260;Kommunal;Bjuv;2120001041;32;32;.;.;38;81;..;
Björknäsgymnasiet sektor 1;32960825;Boden;2582;Kommunal;Boden;2120002767;218;87;66;65;50;26;59;
Björknäsgymnasiet sektor 2;43609520;Boden;2582;Kommunal;Boden;2120002767;91;38;21;32;70;18;49;
Björknäsgymnasiet sektor 3;41416934;Boden;2582;Kommunal;Boden;2120002767;243;94;70;79;16;10;44;
Björknäsgymnasiet sektor 4;97968599;Boden;2582;Kommunal;Boden;2120002767;174;72;52;50;71;10;70;
Björknäsgymnasiet Sektor 5;64685315;Boden;2582;Kommunal;Boden;2120002767;163;163;.;.;19;77;13;
Bollebygds gymnasieskola;35225375;Bollebygd;1443;Kommunal;Bollebygd;2120002973;13;12;1;.;..;..;..;
Friskolan Nytorp;21567982;Bollnäs;2183;Enskild;Friskolan Nytorp AB;5568813561;69;27;23;19;16;..;26;
Hälsingegymnasiet;91748148;Bollnäs;2183;Enskild;Hälsingegymnasiet AB;5567600886;307;119;107;81;41;26;58;
Naturlära i Hälsingland;49379603;Bollnäs;2183;Enskild;NaturLära i Hälsingland AB;5568554314;19;8;8;3;100;..;..;
Nytorps Hästgymnasium;80167319;Bollnäs;2183;Enskild;Nytorps Hästgymnasium AB;5569063455;19;9;2;8;100;..;..;
Torsbergsgymnasiet RO3;42218661;Bollnäs;2183;Kommunal;Hälsinglands utbildningsförbund;2220003111;194;68;55;71;60;32;46;
Torsbergsgymnasiet RO4;73171934;Bollnäs;2183;Kommunal;Hälsinglands utbildningsförbund;2220003111;167;113;31;23;49;64;21;
Torsbergsgymnasiet RO5;83474173;Bollnäs;2183;Kommunal;Hälsinglands utbildningsförbund;2220003111;210;82;64;64;41;17;31;
Ölands Gymnasium 1;91487291;Borgholm;0885;Kommunal;Kalmarsunds gymnasieförbund;8324016453;19;2;17;.;..;100;..;
Erikslundsgymnasiet;21866405;Borlänge;2081;Kommunal;Borlänge;2120002239;178;64;59;55;15;25;30;
Hagagymnasiet;74434644;Borlänge;2081;Kommunal;Borlänge;2120002239;612;214;215;183;61;32;37;
Helixgymnasiet Borlänge;42022406;Borlänge;2081;Enskild;Helixutbildningar AB;5566747290;253;90;90;73;30;35;48;
Hushagsgymnasiet;88445871;Borlänge;2081;Kommunal;Borlänge;2120002239;323;117;104;102;22;9;41;
Introduktionsprogrammen;19100658;Borlänge;2081;Kommunal;Borlänge;2120002239;262;98;105;59;31;76;9;
Rytmus Borlänge;31322470;Borlänge;2081;Enskild;Rytmus AB;5564648979;94;44;50;.;53;..;59;
Soltorgsgymnasiet;65192707;Borlänge;2081;Kommunal;Borlänge;2120002239;513;184;154;175;50;17;69;
Almåsgymnasiet A;18425335;Borås;1490;Kommunal;Borås;2120001561;248;91;82;75;72;28;28;
Almåsgymnasiet B;93281974;Borås;1490;Kommunal;Borås;2120001561;262;95;82;85;67;58;27;
Almåsgymnasiet C;23424275;Borås;1490;Kommunal;Borås;2120001561;220;84;77;59;62;21;38;
Björkängsgymnasiet A;14701551;Borås;1490;Kommunal;Borås;2120001561;117;56;47;14;38;100;..;
