Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Antal elever
Valt läsår: 2018/19


Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Antal elever skolår 1;Antal elever skolår 2;Antal elever skolår 3;Andel kvinnor (%);Andel m utl bakgr (%);Andel m högutb föräldrar (%);
Björkängsgymnasiet B;33201730;Borås;1490;Kommunal;Borås;2120001561;132;95;27;10;37;61;16;
Bäckängsgymnasiet A;43634528;Borås;1490;Kommunal;Borås;2120001561;502;179;162;161;58;29;77;
Bäckängsgymnasiet B;36263479;Borås;1490;Kommunal;Borås;2120001561;527;180;170;177;77;21;61;
Bäckängsgymnasiet C;56679384;Borås;1490;Kommunal;Borås;2120001561;220;95;69;56;77;15;54;
Bäckängsgymnasiet D;30538202;Borås;1490;Kommunal;Borås;2120001561;170;78;42;50;67;45;49;
Drottning Blankas Gymnasieskola Borås;19150273;Borås;1490;Enskild;Drottning Blankas Gymnasieskola AB;5565668794;163;69;65;29;75;39;36;
LBS Ljud & Bildskolan Borås;69018222;Borås;1490;Enskild;Ljud & Bildskolan Lbs AB;5564851649;197;78;66;53;26;13;54;
Praktiska Borås;25624692;Borås;1490;Enskild;Praktiska Sverige AB;5562575786;189;84;52;53;15;43;25;
Realgymnasiet Borås;88534520;Borås;1490;Enskild;Lärande i Sverige AB;5565715892;133;50;35;48;82;11;40;
Sven Eriksonsgymnasiet A;12889940;Borås;1490;Kommunal;Borås;2120001561;370;141;111;118;25;25;68;
Sven Eriksonsgymnasiet B;16554575;Borås;1490;Kommunal;Borås;2120001561;232;119;53;60;31;65;39;
Sven Eriksonsgymnasiet C;34076477;Borås;1490;Kommunal;Borås;2120001561;513;175;172;166;45;27;52;
Sven Eriksonsgymnasiet D;54896448;Borås;1490;Kommunal;Borås;2120001561;69;24;23;22;65;..;70;
Viskastrandsgymnasiet A;25356960;Borås;1490;Kommunal;Borås;2120001561;232;78;87;67;13;15;28;
Viskastrandsgymnasiet B;64284020;Borås;1490;Kommunal;Borås;2120001561;274;89;92;93;20;20;34;
Viskastrandsgymnasiet C;98132436;Borås;1490;Kommunal;Borås;2120001561;288;105;88;95;6;13;33;
Viskastrandsgymnasiet D;67692516;Borås;1490;Kommunal;Borås;2120001561;54;54;.;.;..;100;..;
Skyttbrinks gymnasium;60096875;Botkyrka;0127;Kommunal;Botkyrka;2120002882;168;93;35;40;39;58;25;
S:t Botvids gymnasium;97758137;Botkyrka;0127;Kommunal;Botkyrka;2120002882;503;181;182;140;44;89;25;
Södertörns Gymnasium;53400472;Botkyrka;0127;Enskild;STEG för framtiden Aktiebolag;5567538383;76;37;17;22;66;91;29;
Tullinge gymnasium;26334561;Botkyrka;0127;Kommunal;Botkyrka;2120002882;705;250;225;230;51;32;65;
Tumba gymnasium;40386043;Botkyrka;0127;Kommunal;Botkyrka;2120002882;1 257;477;378;402;49;46;53;
Furubygg;29324709;Bromölla;1272;Kommunal;Sölvesborgs-bromöllas kommunalförbund;2220001222;49;18;16;15;..;..;41;
Jämtlands Gymn, Bräcke 4A;26864271;Bräcke;2305;Kommunal;Jämtlands gymnasieförbund;2220001636;82;29;31;22;..;..;33;
Jämtlands Gymn, Bräcke 4B;64411379;Bräcke;2305;Kommunal;Jämtlands gymnasieförbund;2220001636;53;16;23;14;23;85;..;
Gymnasieutbildningen i Burlöv;73416853;Burlöv;1231;Kommunal;Burlöv;2120001025;91;53;33;5;34;89;11;
Akademi Båstad Gymnasium;59483268;Båstad;1278;Kommunal;Båstad;2120000944;217;88;68;61;49;42;41;
Apelrydsskolan;33685428;Båstad;1278;Enskild;Stiftelsen Apelrydsskolan;8024247234;112;39;30;43;68;14;46;
Apelrydsskolan i Båstad;32879845;Båstad;1278;Enskild;Stiftelsen Apelryd International;8024778402;59;24;17;18;71;..;54;
Utsikten, Dals-Eds gymnasium;88573795;Dals-Ed;1438;Kommunal;Dals-Ed;2120001413;96;42;21;33;38;36;34;
Danderyds Gymnasium Ekonomi;20699742;Danderyd;0162;Kommunal;Danderyd;2120000126;499;198;149;152;43;14;83;
Danderyds Gymnasium Naturvetenskap och Teknik;21663998;Danderyd;0162;Kommunal;Danderyd;2120000126;424;144;139;141;26;25;86;
Danderyds Gymnasium Samhällsvetenskap, Naturvetenskap- och Samhällsvetenskap med varianterna bild, m;20595770;Danderyd;0162;Kommunal;Danderyd;2120000126;344;113;115;116;55;15;77;
Marina läroverket i Danderyd;82814120;Danderyd;0162;Enskild;Klart Skepp Marinteknik AB;5565160669;498;173;161;164;42;6;78;
Viktor Rydberg gy. Djursholm;45164827;Danderyd;0162;Enskild;Stiftelsen Viktor Rydbergs Skola;8120005650;535;181;178;176;55;15;93;
Möckelngymnasiet Degerfors;10924758;Degerfors;1862;Kommunal;Karlskoga;2120001991;308;100;143;65;35;44;28;
Individuella Gymnasiet;55711881;Ekerö;0125;Kommunal;Ekerö;2120000050;32;21;9;2;47;50;..;
Eksjö Gymnasium 2;88259298;Eksjö;0686;Kommunal;Eksjö;2120000589;274;107;94;73;38;23;65;
Eksjö Gymnasium 3;73098153;Eksjö;0686;Kommunal;Eksjö;2120000589;337;131;132;74;59;52;37;
Nifsarpsskolan fri;44240250;Eksjö;0686;Enskild;Eksjö Fordonsutbildning AB;5565848537;235;81;79;75;23;8;30;
Vilhelm Mobergsgymnasiet;17846181;Emmaboda;0862;Kommunal;Emmaboda;2120000738;223;81;68;74;32;61;28;
Westerlundska gymnasiet;75082798;Enköping;0381;Kommunal;Enköping;2120000282;1 253;541;358;354;41;30;41;
Grillska Gymnasiet Eskilstuna;23555409;Eskilstuna;0484;Enskild;Stadsmissionens Skolstiftelse;8020170794;644;235;216;193;54;21;54;
Kunskapscompaniets Gymnasium i Eskilstuna;91333138;Eskilstuna;0484;Enskild;Kunskapscompaniet Gymnasium KCGY AB;5561383885;160;65;55;40;27;18;26;
NTI Gymnasiet Eskilstuna;30341162;Eskilstuna;0484;Enskild;Nordens Teknikerinstitut Aktiebolag (Nti);5561203679;172;60;59;53;10;27;47;
Realgymnasiet Eskilstuna;39936461;Eskilstuna;0484;Enskild;Lärande i Sverige AB;5565715892;133;38;50;45;83;10;42;
Rekarnegymnasiet 1;72266906;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;623;198;223;202;33;28;44;
Rekarnegymnasiet 2;27030026;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;736;277;223;236;35;44;37;
Rinmangymnasiet RI 1;16950252;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;684;279;223;182;31;51;44;
Rinmangymnasiet RI 2;34637764;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;572;216;172;184;57;55;48;
S:t Eskils gymnasium 1;19912478;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;558;205;184;169;63;47;55;
S:t Eskils gymnasium 2;73255276;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;368;135;121;112;55;70;20;
Bergagymnasiet;15077883;Eslöv;1285;Kommunal;Eslöv;2120001173;656;322;190;144;39;47;35;
NVU, Brinellskolan 1;32420077;Fagersta;1982;Kommunal;Norra västmanlands utbildningsförbund;2220000927;153;144;9;.;35;83;8;
NVU, Brinellskolan 2;48434184;Fagersta;1982;Kommunal;Norra västmanlands utbildningsförbund;2220000927;401;160;117;124;43;33;33;
Drottning Blankas Gymnasieskola Falkenberg;58724424;Falkenberg;1382;Enskild;Drottning Blankas Gymnasieskola AB;5565668794;148;54;46;48;75;26;34;
Falkenbergs Gymnasieskola 1;95684185;Falkenberg;1382;Kommunal;Falkenberg;2120001231;357;126;111;120;50;53;39;
Falkenbergs Gymnasieskola 2;51138448;Falkenberg;1382;Kommunal;Falkenberg;2120001231;255;109;74;72;68;25;44;
Falkenbergs Gymnasieskola 3;19647256;Falkenberg;1382;Kommunal;Falkenberg;2120001231;188;73;58;57;21;11;38;
Falkenbergs Gymnasieskola 4;56421429;Falkenberg;1382;Kommunal;Falkenberg;2120001231;219;70;73;76;11;18;58;
Falkenbergs Gymnasieskola 5;39911065;Falkenberg;1382;Kommunal;Falkenberg;2120001231;232;80;73;79;58;36;44;
Ållebergsgymnasiet A;17008320;Falköping;1499;Kommunal;Falköping;2120001744;241;93;81;67;32;27;66;
Ållebergsgymnasiet B;56737496;Falköping;1499;Kommunal;Falköping;2120001744;263;99;86;78;47;18;56;
Ållebergsgymnasiet C;88850910;Falköping;1499;Kommunal;Falköping;2120001744;247;92;86;69;40;78;19;
Ållebergsgymnasiet E;93939982;Falköping;1499;Kommunal;Falköping;2120001744;286;94;95;97;63;18;40;
Falu Frigymnasium;25720752;Falun;2080;Enskild;Falu Frigymnasium Aktiebolag;5566112834;398;146;140;112;64;24;61;
Hagströmska gymnasiet Falun;55155562;Falun;2080;Enskild;Hagströmska Gymnasiet AB;5567550461;718;291;229;198;31;10;50;
Kristinegymnasiet RO1;31533003;Falun;2080;Kommunal;Falun;2120002221;278;91;80;107;65;18;51;
Kristinegymnasiet RO2;31429031;Falun;2080;Kommunal;Falun;2120002221;141;55;39;47;77;35;28;
Kristinegymnasiet RO3;16361868;Falun;2080;Kommunal;Falun;2120002221;265;99;92;74;75;13;51;
Lugnetgymnasiet RO1;23164911;Falun;2080;Kommunal;Falun;2120002221;434;154;127;153;42;16;74;
Lugnetgymnasiet RO2;24008049;Falun;2080;Kommunal;Falun;2120002221;197;74;58;65;12;16;44;
Lugnetgymnasiet RO3;72661886;Falun;2080;Kommunal;Falun;2120002221;371;242;66;63;52;41;37;
Mikael Elias Gymnasium, Falun;19981611;Falun;2080;Enskild;Mikael Elias Gymnasium AB;5565583282;92;38;30;24;65;51;35;
Musikkonservatoriet Falun;54481243;Falun;2080;Landsting;Landstinget Dalarna;2321000180;47;11;18;18;49;..;83;
NTI Gymnasiet Falun;36680097;Falun;2080;Enskild;Nordens Teknikerinstitut Aktiebolag (Nti);5561203679;85;18;33;34;19;28;48;
Plusgymnasiet Falun;87756916;Falun;2080;Enskild;Plusgymnasiet AB;5565789129;152;54;53;45;70;38;25;
Praktiska Falun;59734510;Falun;2080;Enskild;Praktiska Sverige AB;5562575786;129;53;44;32;47;23;25;
Spångbergsgymnasiet;19586169;Filipstad;1782;Kommunal;Filipstad;2120001876;407;139;134;134;39;45;26;
Bergska gymnasiet Bergska skolan;17643936;Finspång;0562;Kommunal;Finspång;2120000423;129;112;12;5;20;75;10;
Bergska gymnasiet Bildningen;24273261;Finspång;0562;Kommunal;Finspång;2120000423;261;91;74;96;48;33;40;
Curt Nicolin-gymnasiet;95683850;Finspång;0562;Enskild;Curt Nicolin Gymnasiet AB;5566431044;510;186;174;150;30;13;60;
Prins Wilhelm gymnasiet;59455288;Flen;0482;Kommunal;Flen;2120000332;285;120;86;79;44;69;22;
ForshagaAkademin;82163292;Forshaga;1763;Enskild;ForshagaAkademin AB;5566205737;263;97;88;78;35;23;40;
Gymnasieutbildningen i Gagnef;19599583;Gagnef;2026;Kommunal;Gagnef;2120002155;17;7;9;1;..;71;..;
Gislaveds gymnasium Ekonomisk sektor;25679488;Gislaved;0662;Kommunal;Gislaved;2120000514;353;122;114;117;62;31;38;
Gislaveds gymnasium NEO sektor;25677996;Gislaved;0662;Kommunal;Gislaved;2120000514;374;210;84;80;52;64;31;
Gislaveds gymnasium Teknisk sektor;89888648;Gislaved;0662;Kommunal;Gislaved;2120000514;320;144;90;86;17;31;37;
Motorsportsgymnasiet i Anderstorp;90003262;Gislaved;0662;Enskild;Värmdö Tekniska Utbildningar Aktiebolag, Vtu;5563836757;73;29;18;26;..;..;41;
Stora Segerstad Naturbrukscentrum;88163512;Gislaved;0662;Landsting;Jönköpings Läns Landsting;2321000057;172;57;64;51;33;..;35;
Introduktionsprogram Gnesta kommun;35191755;Gnesta;0461;Kommunal;Gnesta;2120002965;25;16;9;.;..;56;..;
Gnosjöandans kunskapsc. gy;35063170;Gnosjö;0617;Kommunal;Gnosjö;2120000506;256;104;69;83;48;52;32;
Gutegymnasiet;31279294;Gotland;0980;Enskild;Guteskolan AB;5567044267;272;130;68;74;44;36;33;
Wisbygymnasiet;36782335;Gotland;0980;Kommunal;Gotland;2120000803;1 510;667;422;421;45;13;47;
Introduktionsprogrammet Språkintroduktion;42892954;Gullspång;1447;Kommunal;Gullspång;2120001637;18;18;.;.;..;83;..;
Välkommaskolan enhet 1;20666515;Gällivare;2523;Kommunal;Lapplands kommunalförbund;2220000760;185;61;53;71;50;14;48;
Välkommaskolan enhet 2;37906565;Gällivare;2523;Kommunal;Lapplands kommunalförbund;2220000760;184;77;45;62;27;28;34;
Välkommaskolan enhet 3;23063954;Gällivare;2523;Kommunal;Lapplands kommunalförbund;2220000760;182;63;57;62;46;12;37;
Borgarskolan;21648755;Gävle;2180;Kommunal;Gävle;2120002338;879;339;310;230;42;28;47;
Drottning Blankas Gymnasieskola Gävle;11111710;Gävle;2180;Enskild;Plusgymnasiet AB;5565789129;193;79;69;45;79;41;37;
NTI Gymnasiet Gävle;86547467;Gävle;2180;Enskild;Nordens Teknikerinstitut Aktiebolag (Nti);5561203679;20;20;.;.;..;..;55;
Polhemsskolan;90551279;Gävle;2180;Kommunal;Gävle;2120002338;1 526;838;365;323;37;35;42;
Praktiska Gävle;93062368;Gävle;2180;Enskild;Praktiska Sverige AB;5562575786;108;55;27;26;26;54;17;
Realgymnasiet Gävle;69686851;Gävle;2180;Enskild;Lärande i Sverige AB;5565715892;424;152;147;125;64;14;38;
Thoren Business School Gävle;49616977;Gävle;2180;Enskild;Thorengruppen AB;5566139290;246;91;70;85;61;26;44;
Vasaskolan;54965510;Gävle;2180;Kommunal;Gävle;2120002338;1 021;327;327;367;67;32;65;
Yrkesgymnasiet Gävle;90267145;Gävle;2180;Enskild;Thorengruppen AB;5566139290;165;66;54;45;24;19;30;
Angeredsgymnasiet 1;72998905;Göteborg;1480;Kommunal;Göteborg;2120001355;231;118;62;51;55;94;16;
Angeredsgymnasiet 2;84835666;Göteborg;1480;Kommunal;Göteborg;2120001355;222;96;77;49;41;71;28;
Angeredsgymnasiet 3;24685151;Göteborg;1480;Kommunal;Göteborg;2120001355;284;283;1;.;33;100;6;
Angeredsgymnasiet 4;25872338;Göteborg;1480;Kommunal;Göteborg;2120001355;103;38;22;43;49;82;36;
Angeredsgymnasiet 5;54164490;Göteborg;1480;Kommunal;Göteborg;2120001355;179;113;34;32;49;95;26;
Aniaragymnasiet;69481650;Göteborg;1480;Enskild;AF Affärseffekt Framtidsskola AB;5566666789;295;134;84;77;52;45;44;
Aspero Idrottsgymn. Göteborg;20319353;Göteborg;1480;Enskild;Aspero Friskolor AB;5566363973;252;88;81;83;31;28;49;
Bernadottegymnasiet;92194545;Göteborg;1480;Kommunal;Göteborg;2120001355;248;96;88;64;38;14;65;
Bräckegymnasiet 1;88153340;Göteborg;1480;Kommunal;Göteborg;2120001355;213;88;63;62;7;40;28;
Bräckegymnasiet 2;94353434;Göteborg;1480;Kommunal;Göteborg;2120001355;194;70;77;47;6;34;37;
Bräckegymnasiet 4;84978846;Göteborg;1480;Kommunal;Göteborg;2120001355;184;115;39;30;28;61;15;
Bräckegymnasiet 5;11179442;Göteborg;1480;Kommunal;Göteborg;2120001355;127;78;25;24;9;99;..;
Burgårdens Gymnasium 1;59396229;Göteborg;1480;Kommunal;Göteborg;2120001355;312;92;113;107;89;26;40;
Burgårdens Gymnasium 2;95165649;Göteborg;1480;Kommunal;Göteborg;2120001355;289;129;129;31;50;84;15;
Burgårdens Gymnasium 3;64740897;Göteborg;1480;Kommunal;Göteborg;2120001355;192;157;35;.;59;72;17;
Burgårdens Gymnasium 4;78979604;Göteborg;1480;Kommunal;Göteborg;2120001355;190;89;67;34;38;44;52;
Burgårdens Gymnasium 5;69626109;Göteborg;1480;Kommunal;Göteborg;2120001355;362;152;122;88;73;40;35;
Center för språkintroduktion Lindholmen 1;53432700;Göteborg;1480;Kommunal;Göteborg;2120001355;167;114;53;.;44;100;10;
Center för Språkintroduktion Lindholmen 2;22601648;Göteborg;1480;Kommunal;Göteborg;2120001355;122;101;21;.;48;100;..;
Cybergymnasiet Göteborg;85068812;Göteborg;1480;Enskild;Cybergymnasiet Göteborg AB;5565693297;257;95;72;90;38;83;33;
Donnergymnasiet;78397312;Göteborg;1480;Enskild;Donnergymnasiet AB;5565408381;568;198;187;183;65;22;75;
Drottning Blankas Gymnasieskola Göteborg;36444853;Göteborg;1480;Enskild;Drottning Blankas Gymnasieskola AB;5565668794;397;155;122;120;91;21;52;
Ester Mosessons gymnasium 1;15414001;Göteborg;1480;Kommunal;Göteborg;2120001355;234;110;65;59;41;21;47;
Ester Mosessons gymnasium 2;38311488;Göteborg;1480;Kommunal;Göteborg;2120001355;155;92;28;35;48;60;24;
Framtidsgymnasiet Göteborg;16819383;Göteborg;1480;Enskild;Framtidsgymnasiet i Göteborg Aktiebolag;5564781606;377;127;149;101;8;96;11;
GTI:s gymnasieskola;89837629;Göteborg;1480;Enskild;Göteborgs Tekniska Institut Aktiebolag;5562358993;386;125;143;118;46;84;37;
Gymnasieakademin;12994441;Göteborg;1480;Enskild;IEAB International Education AB;5567265979;315;89;101;125;63;73;41;
Göteborgregionens tekniska gy;53660780;Göteborg;1480;Enskild;Göteborgs Tekniska College Aktiebolag;5565706768;473;176;159;138;21;18;69;
Göteborgs Högre Samskola gy.;88774402;Göteborg;1480;Enskild;Stiftelsen Göteborgs Högre Samskola;8572059197;559;198;181;180;63;14;83;
Hermods Gymnasium Göteborg;75141151;Göteborg;1480;Enskild;Hermods Gymnasium AB;5565286696;310;128;110;72;63;46;55;
Hvitfeldtska gymnasiet 1;61701709;Göteborg;1480;Kommunal;Göteborg;2120001355;386;128;129;129;60;25;68;
Hvitfeldtska gymnasiet 2;61469192;Göteborg;1480;Kommunal;Göteborg;2120001355;235;85;74;76;57;14;73;
Hvitfeldtska gymnasiet 3;84306392;Göteborg;1480;Kommunal;Göteborg;2120001355;463;157;148;158;53;34;84;
Hvitfeldtska gymnasiet 4;28627819;Göteborg;1480;Kommunal;Göteborg;2120001355;434;187;133;114;70;37;62;
Hvitfeldtska gymnasiet 5;30086854;Göteborg;1480;Kommunal;Göteborg;2120001355;352;109;127;116;57;42;65;
IHGR-gymnasiet;26627862;Göteborg;1480;Kommunal;Göteborg;2120001355;378;142;112;124;63;52;72;
Ingrid Segerstedts gymnasium;48847282;Göteborg;1480;Enskild;Stiftelsen Ingrid Segerstedts Gymnasium;8572088824;358;125;129;104;78;10;73;
International IT College of Sweden Gothenburg;72517762;Göteborg;1480;Enskild;Edinit AB;5563114445;134;97;22;15;38;88;36;
JENSEN Gymnasium Göteborg;38684438;Göteborg;1480;Enskild;Jensen Education College AB;5566358759;444;176;124;144;53;55;52;
Katrinelundsgymnasiet 1;31251822;Göteborg;1480;Kommunal;Göteborg;2120001355;296;98;99;99;55;46;52;
Katrinelundsgymnasiet 2;90099336;Göteborg;1480;Kommunal;Göteborg;2120001355;8;.;.;8;..;..;..;
Katrinelundsgymnasiet 3;96590873;Göteborg;1480;Kommunal;Göteborg;2120001355;387;161;118;108;79;73;21;
Katrinelundsgymnasiet 4;35647481;Göteborg;1480;Kommunal;Göteborg;2120001355;275;128;92;55;49;66;61;
Katrinelundsgymnasiet 5;39549479;Göteborg;1480;Kommunal;Göteborg;2120001355;376;128;128;120;37;36;59;
Kitas Ekonomi;73147554;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;259;92;66;101;58;8;68;
Kitas Frisörgymnasium;65752105;Göteborg;1480;Enskild;Kimuo frisörutbildning AB;5567385330;36;14;10;12;97;..;31;
Kitas Gymnasium;69983740;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;334;102;138;94;69;17;73;
Kitas Natur;66491596;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;287;98;87;102;50;18;83;
KLARA Teoretiska Gymnasium Göteborg;40690520;Göteborg;1480;Enskild;Mikael Elias Gymnasium AB;5565583282;592;192;232;168;62;30;78;
Kunskapsgymnasiet Göteborg;12052268;Göteborg;1480;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;353;126;112;115;54;81;46;
L M Engströms gymnasium;71597051;Göteborg;1480;Enskild;Peter Isaac Béens Utbildningsstiftelse;8572003666;568;190;188;190;74;8;87;
LBS Ljud & Bildskolan Göteborg;53231578;Göteborg;1480;Enskild;Ljud & Bildskolan Lbs AB;5564851649;441;191;142;108;18;15;65;
Lindholmens tekn gymnasium 1;11274830;Göteborg;1480;Kommunal;Göteborg;2120001355;255;93;81;81;..;36;38;
Lindholmens tekn gymnasium 2;51321260;Göteborg;1480;Kommunal;Göteborg;2120001355;264;112;84;68;5;32;34;
Lindholmens tekn gymnasium 3;96279444;Göteborg;1480;Kommunal;Göteborg;2120001355;334;116;113;105;10;24;68;
Magelungens Gymnasium Göteborg;27268498;Göteborg;1480;Enskild;Magelungen Utveckling AB;5564891447;61;39;20;2;36;..;57;
Motorbranschens Tekniska gymn.;61880907;Göteborg;1480;Kommunal;Göteborg;2120001355;292;127;78;87;9;35;29;
NTI Gymnasiet Johanneberg;79094701;Göteborg;1480;Enskild;IT Gymnasiet Sverige AB;5565970471;477;159;156;162;20;15;78;
NTI Gymnasiet Kronhus;35006050;Göteborg;1480;Enskild;Nordens Teknikerinstitut Aktiebolag (Nti);5561203679;460;184;144;132;22;35;60;
NTI Mediegymnasiet;97382366;Göteborg;1480;Enskild;Nordens Teknikerinstitut Aktiebolag (Nti);5561203679;445;180;131;134;66;25;52;
Peabskolan Göteborg;88886610;Göteborg;1480;Enskild;Peabskolan AB;5564427432;178;49;60;69;6;61;21;
Plusgymnasiet Göteborg;10638939;Göteborg;1480;Enskild;Plusgymnasiet AB;5565789129;242;100;72;70;64;48;36;
Polhemsgymnasiet 1;21505555;Göteborg;1480;Kommunal;Göteborg;2120001355;363;127;130;106;42;31;78;
