Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Antal elever
Valt läsår: 2021/22


Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Antal elever skolår 1;Antal elever skolår 2;Antal elever skolår 3;Andel kvinnor (%);Andel m utl bakgr (%);Andel m högutb föräldrar (%);
Danderyds Gymnasium;30866364;Danderyd;0162;Kommunal;Danderyd;2120000126;1 279;474;402;403;40;14;80;
Marina läroverket i Danderyd;82814120;Danderyd;0162;Enskild;Klart Skepp Marinteknik AB;5565160669;515;178;168;169;48;5;83;
Viktor Rydberg gy. Djursholm;45164827;Danderyd;0162;Enskild;Stiftelsen Viktor Rydbergs Skolor;8120005650;522;185;186;151;57;10;92;
Degerforsgymnasiet;10924758;Degerfors;1862;Kommunal;Degerfors;2120001934;310;121;94;95;41;26;38;
Individuella Gymnasiet;55711881;Ekerö;0125;Kommunal;Ekerö;2120000050;38;22;9;7;50;74;..;
Eksjö Gymnasium 1;34153869;Eksjö;0686;Kommunal;Eksjö;2120000589;289;117;81;91;39;34;58;
Eksjö Gymnasium 2;88259298;Eksjö;0686;Kommunal;Eksjö;2120000589;187;70;60;57;69;19;63;
Eksjö Gymnasium 3;73098153;Eksjö;0686;Kommunal;Eksjö;2120000589;51;11;24;16;88;25;37;
Nifsarpsskolan fri;44240250;Eksjö;0686;Enskild;Eksjö Fordonsutbildning AB;5565848537;233;83;81;69;18;6;34;
Vilhelm Mobergsgymnasiet;17846181;Emmaboda;0862;Kommunal;Emmaboda;2120000738;183;60;55;68;39;63;34;
Westerlundska gymnasiet;75082798;Enköping;0381;Kommunal;Enköping;2120000282;1 314;467;420;427;45;27;49;
Grillska Gymnasiet Eskilstuna;23555409;Eskilstuna;0484;Enskild;Stadsmissionens Skolstiftelse;8020170794;679;237;219;223;49;23;58;
JENSEN Gymnasium Eskilstuna;88986563;Eskilstuna;0484;Enskild;Jensen Education College AB;5566358759;153;85;68;.;69;68;53;
Kunskapscompaniets Gymnasium i Eskilstuna;91333138;Eskilstuna;0484;Enskild;Kunskapscompaniet Gymnasium KCGY AB;5561383885;181;60;65;56;40;33;23;
NTI Gymnasiet Eskilstuna;30341162;Eskilstuna;0484;Enskild;NTI Gymnasiet Macro AB;5561203679;163;68;47;48;13;29;48;
Realgymnasiet Eskilstuna;39936461;Eskilstuna;0484;Enskild;Lärande i Sverige AB;5565715892;171;64;59;48;82;..;53;
Rekarnegymnasiet 1;72266906;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;662;225;228;209;34;28;45;
Rekarnegymnasiet 2;27030026;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;547;211;182;154;38;36;34;
Rinmangymnasiet RI 1N;16950252;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;525;174;181;170;26;42;57;
Rinmangymnasiet RI 2N;34637764;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;476;191;157;128;65;65;56;
Rinmangymnasiet RI3N;44957557;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;86;37;33;16;48;22;35;
S:t Eskils gymnasium 1;19912478;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;730;266;221;243;65;50;54;
Zetterbergsgymnasiet;69396818;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;337;119;111;107;60;46;44;
Carl Engströmgymnasiet;15077883;Eslöv;1285;Kommunal;Eslöv;2120001173;740;275;237;228;40;37;42;
NVU, Brinellskolan 1;32420077;Fagersta;1982;Kommunal;Fagersta;2120002106;268;119;78;71;30;41;26;
NVU, Brinellskolan 2;48434184;Fagersta;1982;Kommunal;Fagersta;2120002106;248;85;72;91;59;37;48;
Drottning Blankas Gymnasieskola Falkenberg;58724424;Falkenberg;1382;Enskild;DBGY Kronan AB;5565668794;145;53;42;50;77;33;35;
Falkenbergs Gymnasieskola 1;95684185;Falkenberg;1382;Kommunal;Falkenberg;2120001231;122;43;45;34;43;62;18;
Falkenbergs Gymnasieskola 2;51138448;Falkenberg;1382;Kommunal;Falkenberg;2120001231;710;224;231;255;57;25;62;
Falkenbergs Gymnasieskola 3;19647256;Falkenberg;1382;Kommunal;Falkenberg;2120001231;361;135;131;95;29;13;36;
Ållebergsgymnasiet A;17008320;Falköping;1499;Kommunal;Falköping;2120001744;233;75;66;92;36;33;68;
Ållebergsgymnasiet B;56737496;Falköping;1499;Kommunal;Falköping;2120001744;270;99;80;91;36;24;55;
Ållebergsgymnasiet C;88850910;Falköping;1499;Kommunal;Falköping;2120001744;190;74;72;44;49;68;21;
Ållebergsgymnasiet E;93939982;Falköping;1499;Kommunal;Falköping;2120001744;309;108;96;105;67;18;56;
Drottning Blankas Gymnasieskola Falun;34253318;Falun;2080;Enskild;DBGY Kronan AB;5565668794;265;89;88;88;71;53;27;
Falu Frigymnasium;25720752;Falun;2080;Enskild;Falu Frigymnasium Aktiebolag;5566112834;398;150;130;118;67;38;57;
Hagströmska gymnasiet Falun;55155562;Falun;2080;Enskild;Hagströmska Gymnasiet AB;5567550461;643;231;216;196;28;13;56;
Kristinegymnasiet RO1;31533003;Falun;2080;Kommunal;Falun;2120002221;341;125;86;130;68;17;59;
Kristinegymnasiet RO2;31429031;Falun;2080;Kommunal;Falun;2120002221;426;153;148;125;68;17;54;
Lugnetgymnasiet RO1;23164911;Falun;2080;Kommunal;Falun;2120002221;483;178;148;157;42;15;79;
Lugnetgymnasiet RO2;24008049;Falun;2080;Kommunal;Falun;2120002221;264;98;79;87;19;13;47;
Lugnetgymnasiet RO3;72661886;Falun;2080;Kommunal;Falun;2120002221;226;83;73;70;83;8;65;
Lugnetgymnasiet RO4;94144023;Falun;2080;Kommunal;Falun;2120002221;134;132;.;2;43;46;19;
Musikkonservatoriet Falun;54481243;Falun;2080;Region;Region Dalarna;2321000180;49;33;16;.;53;..;88;
Praktiska Gymnasiet Falun;59734510;Falun;2080;Enskild;Praktiska Sverige AB;5562575786;210;76;74;60;38;20;34;
Spångbergsgymnasiet;19586169;Filipstad;1782;Kommunal;Filipstad;2120001876;299;96;89;114;45;37;26;
Bergska gymnasiet Bergska skolan;17643936;Finspång;0562;Kommunal;Finspång;2120000423;129;40;56;33;26;33;23;
Bergska gymnasiet Bildningen;24273261;Finspång;0562;Kommunal;Finspång;2120000423;185;60;57;68;70;28;51;
Curt Nicolin-gymnasiet;95683850;Finspång;0562;Enskild;Curt Nicolin Gymnasiet AB;5566431044;531;180;170;181;30;16;64;
Prins Wilhelm gymnasiet;59455288;Flen;0482;Kommunal;Flen;2120000332;207;75;72;60;47;76;25;
ForshagaAkademin;82163292;Forshaga;1763;Enskild;ForshagaAkademin AB;5566205737;247;91;72;84;39;13;48;
Gymnasieutbildningen i Gagnef;19599583;Gagnef;2026;Kommunal;Gagnef;2120002155;14;10;4;.;..;..;..;
Gislaveds gymnasium Ekonomisk sektor;25679488;Gislaved;0662;Kommunal;Gislaved;2120000514;366;129;111;126;64;33;39;
Gislaveds gymnasium NEO sektor;25677996;Gislaved;0662;Kommunal;Gislaved;2120000514;317;143;99;75;70;51;34;
Gislaveds gymnasium Teknisk sektor;89888648;Gislaved;0662;Kommunal;Gislaved;2120000514;305;130;93;82;16;30;40;
Motorsportsgymnasiet i Anderstorp;90003262;Gislaved;0662;Enskild;Värmdö Tekniska Utbildningar Aktiebolag, Vtu;5563836757;82;30;33;19;..;..;38;
Stora Segerstad Naturbrukscentrum;88163512;Gislaved;0662;Region;Region Jönköpings Län;2321000057;184;62;62;60;26;..;40;
Gnosjöandans kunskapsc. gy;35063170;Gnosjö;0617;Kommunal;Gnosjö;2120000506;283;105;91;87;48;50;33;
Gutegymnasiet;31279294;Gotland;0980;Enskild;Guteskolan AB;5567044267;212;86;66;60;42;26;42;
Wisbygymnasiet;36782335;Gotland;0980;Kommunal;Gotland;2120000803;1 534;621;443;470;48;10;57;
Introduktionsprogrammet Språkintroduktion;42892954;Gullspång;1447;Kommunal;Gullspång;2120001637;1;.;1;.;..;..;..;
Lapplands Gymnasium Gällivare enhet 1;20666515;Gällivare;2523;Kommunal;Lapplands Kommunalförbund;2220000760;192;71;57;64;32;11;54;
Lapplands Gymnasium Gällivare enhet 2;37906565;Gällivare;2523;Kommunal;Lapplands Kommunalförbund;2220000760;163;52;56;55;56;20;38;
Lapplands Gymnasium Gällivare enhet 3;23063954;Gällivare;2523;Kommunal;Lapplands Kommunalförbund;2220000760;171;53;60;58;42;8;48;
Borgarskolan;21648755;Gävle;2180;Kommunal;Gävle;2120002338;779;257;247;275;47;16;61;
Drottning Blankas Gymnasieskola Gävle;11111710;Gävle;2180;Enskild;DBGY Juvelen AB;5565789129;260;93;78;89;80;45;34;
IM-gymnasiet;83487818;Gävle;2180;Kommunal;Gävle;2120002338;336;279;33;24;45;59;24;
NTI Vetenskapsgymnasiet Gävle;86547467;Gävle;2180;Enskild;NTI Gymnasiet Macro AB;5561203679;165;63;58;44;32;52;46;
Polhemsskolan;90551279;Gävle;2180;Kommunal;Gävle;2120002338;1 230;415;424;391;40;21;55;
Praktiska Gymnasiet Gävle;93062368;Gävle;2180;Enskild;Praktiska Sverige AB;5562575786;166;63;66;37;25;48;33;
Realgymnasiet Gävle;69686851;Gävle;2180;Enskild;Lärande i Sverige AB;5565715892;416;142;130;144;68;12;47;
Thoren Business School Gävle;49616977;Gävle;2180;Enskild;Thorengruppen AB;5566139290;273;81;83;109;62;25;51;
Vasaskolan;54965510;Gävle;2180;Kommunal;Gävle;2120002338;1 000;336;325;339;64;33;70;
Yrkesgymnasiet Gävle;90267145;Gävle;2180;Enskild;Thorengruppen AB;5566139290;201;74;77;50;25;17;36;
Amerikanska Gymnasiet;49918856;Göteborg;1480;Enskild;Amerikanska Gymnasiet i Sverige AB;5590415591;478;153;173;152;51;29;74;
Angeredsgymnasiet 1;72998905;Göteborg;1480;Kommunal;Göteborg;2120001355;229;87;77;65;66;93;19;
Angeredsgymnasiet 2;84835666;Göteborg;1480;Kommunal;Göteborg;2120001355;271;112;84;75;58;93;34;
Angeredsgymnasiet 3;24685151;Göteborg;1480;Kommunal;Göteborg;2120001355;250;249;1;.;48;96;20;
Angeredsgymnasiet 4;25872338;Göteborg;1480;Kommunal;Göteborg;2120001355;95;22;30;43;47;23;46;
Aniaragymnasiet;69481650;Göteborg;1480;Enskild;AF Affärseffekt Framtidsskola AB;5566666789;315;103;105;107;45;72;37;
Aspero Idrottsgymn. Göteborg;20319353;Göteborg;1480;Enskild;Aspero Friskolor AB;5566363973;247;88;83;76;31;23;60;
Bernadottegymnasiet;92194545;Göteborg;1480;Kommunal;Göteborg;2120001355;372;128;124;120;44;13;76;
Bräckegymnasiet 1;88153340;Göteborg;1480;Kommunal;Göteborg;2120001355;189;65;63;61;8;53;27;
Bräckegymnasiet 2;94353434;Göteborg;1480;Kommunal;Göteborg;2120001355;188;57;70;61;8;37;38;
Bräckegymnasiet 4;84978846;Göteborg;1480;Kommunal;Göteborg;2120001355;251;109;98;44;25;71;27;
Burgårdens Gymnasium 1;59396229;Göteborg;1480;Kommunal;Göteborg;2120001355;203;57;64;82;92;39;37;
Burgårdens Gymnasium 2;95165649;Göteborg;1480;Kommunal;Göteborg;2120001355;239;197;29;13;79;58;26;
Burgårdens Gymnasium 3;64740897;Göteborg;1480;Kommunal;Göteborg;2120001355;217;145;50;22;38;47;48;
Burgårdens Gymnasium 4;78979604;Göteborg;1480;Kommunal;Göteborg;2120001355;210;88;73;49;66;70;37;
Burgårdens Gymnasium 5;69626109;Göteborg;1480;Kommunal;Göteborg;2120001355;222;78;67;77;68;46;45;
Burgårdens Gymnasium 6;21938009;Göteborg;1480;Kommunal;Göteborg;2120001355;54;54;.;.;83;76;24;
Center för språkintroduktion Lindholmen 1;53432700;Göteborg;1480;Kommunal;Göteborg;2120001355;233;233;.;.;44;100;12;
Donnergymnasiet;78397312;Göteborg;1480;Enskild;Donnergymnasiet AB;5565408381;669;227;225;217;61;21;84;
Drottning Blankas Gymnasieskola Göteborg Centrum;36444853;Göteborg;1480;Enskild;DBGY Kronan AB;5565668794;539;198;175;166;82;22;60;
Drottning Blankas Gymnasieskola Göteborg Gårda;10638939;Göteborg;1480;Enskild;DBGY Juvelen AB;5565789129;576;323;165;88;78;27;53;
Ester Mosessons gymnasium 1;15414001;Göteborg;1480;Kommunal;Göteborg;2120001355;261;92;81;88;52;15;54;
Ester Mosessons gymnasium 2;38311488;Göteborg;1480;Kommunal;Göteborg;2120001355;90;43;35;12;67;49;28;
Framtidsgymnasiet Göteborg;16819383;Göteborg;1480;Enskild;Praktiska Utbildning AB;5564781606;284;101;101;82;13;87;17;
GTI:s gymnasieskola;89837629;Göteborg;1480;Enskild;Göteborgs Tekniska Institut Aktiebolag;5562358993;387;121;157;109;51;87;36;
Gymnasieakademin;12994441;Göteborg;1480;Enskild;IEAB International Education AB;5567265979;423;115;148;160;68;81;36;
Göteborgregionens tekniska gy;53660780;Göteborg;1480;Enskild;Göteborgs Tekniska College Aktiebolag;5565706768;418;123;154;141;12;17;74;
Göteborgs Högre Samskola gy.;88774402;Göteborg;1480;Enskild;Stiftelsen Göteborgs Högre Samskola;8572059197;549;191;177;181;64;13;88;
Hvitfeldtska gymnasiet 1;61701709;Göteborg;1480;Kommunal;Göteborg;2120001355;408;129;127;152;62;20;79;
Hvitfeldtska gymnasiet 2;61469192;Göteborg;1480;Kommunal;Göteborg;2120001355;255;84;84;87;52;19;76;
Hvitfeldtska gymnasiet 3;84306392;Göteborg;1480;Kommunal;Göteborg;2120001355;461;145;151;165;55;23;88;
Hvitfeldtska gymnasiet 4;28627819;Göteborg;1480;Kommunal;Göteborg;2120001355;433;160;123;150;76;15;81;
Hvitfeldtska gymnasiet 5;30086854;Göteborg;1480;Kommunal;Göteborg;2120001355;227;61;82;84;61;75;65;
Hvitfeldtska gymnasiet 6;50235617;Göteborg;1480;Kommunal;Göteborg;2120001355;200;99;51;50;63;29;46;
IHGR-gymnasiet;26627862;Göteborg;1480;Kommunal;Göteborg;2120001355;361;151;102;108;53;72;69;
Ingrid Segerstedts gymnasium;48847282;Göteborg;1480;Enskild;Stiftelsen Ingrid Segerstedts Gymnasium;8572088824;380;129;125;126;84;9;84;
International IT College of Sweden Gothenburg;72517762;Göteborg;1480;Enskild;Edinit AB;5563114445;149;79;38;32;38;86;35;
JENSEN Gymnasium Göteborg;38684438;Göteborg;1480;Enskild;Jensen Education College AB;5566358759;452;168;139;145;52;77;49;
Katrinelundsgymnasiet 1;31251822;Göteborg;1480;Kommunal;Göteborg;2120001355;301;121;93;87;51;57;51;
Katrinelundsgymnasiet 2;90099336;Göteborg;1480;Kommunal;Göteborg;2120001355;11;.;.;11;..;..;..;
Katrinelundsgymnasiet 3;96590873;Göteborg;1480;Kommunal;Göteborg;2120001355;212;1;120;91;77;67;30;
Katrinelundsgymnasiet 4;35647481;Göteborg;1480;Kommunal;Göteborg;2120001355;219;65;66;88;52;57;64;
Katrinelundsgymnasiet 5;39549479;Göteborg;1480;Kommunal;Göteborg;2120001355;374;127;142;105;32;43;60;
Kitas Ekonomi;73147554;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;247;87;67;93;53;11;79;
Kitas Frisörgymnasium;65752105;Göteborg;1480;Enskild;Kimuo frisörutbildning AB;5567385330;4;.;4;.;..;..;..;
Kitas Gymnasium;69983740;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;320;96;125;99;71;21;78;
Kitas Natur;66491596;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;285;97;96;92;42;18;89;
KLARA Teoretiska Gymnasium Göteborg Postgatan;40690520;Göteborg;1480;Enskild;KLARA Gymnasium Lärande AB;5565583282;586;200;190;196;68;28;80;
KLARA Teoretiska Gymnasium Göteborg Vallgatan;75141151;Göteborg;1480;Enskild;KLARA Gymnasium Bildning AB;5565286696;341;123;92;126;65;50;62;
Kunskapsgymnasiet Göteborg;12052268;Göteborg;1480;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;351;117;116;118;61;91;44;
L M Engströms gymnasium;71597051;Göteborg;1480;Enskild;Peter Isaac Béens Utbildningsstiftelse;8572003666;548;198;159;191;68;7;86;
LBS Kreativa Gymnasiet Göteborg;53231578;Göteborg;1480;Enskild;Ljud & Bildskolan Lbs AB;5564851649;548;189;183;176;21;23;68;
LBS Mediegymnasiet;97382366;Göteborg;1480;Enskild;Ljud & Bildskolan Lbs AB;5564851649;320;104;93;123;54;27;57;
Lindholmens tekn gymnasium 1;11274830;Göteborg;1480;Kommunal;Göteborg;2120001355;308;109;105;94;..;21;53;
Lindholmens tekn gymnasium 2;51321260;Göteborg;1480;Kommunal;Göteborg;2120001355;242;101;83;58;..;27;43;
Lindholmens tekn gymnasium 3;96279444;Göteborg;1480;Kommunal;Göteborg;2120001355;389;159;122;108;12;29;70;
Magelungens Gymnasium Göteborg;27268498;Göteborg;1480;Enskild;Magelungen Utveckling AB;5564891447;89;46;29;14;38;13;72;
Motorbranschens Tekniska gymn.;61880907;Göteborg;1480;Kommunal;Göteborg;2120001355;296;102;98;96;15;34;31;
NTI Gymnasiet Johanneberg;79094701;Göteborg;1480;Enskild;NTI Gymnasiet Ellips AB;5565970471;468;156;158;154;20;18;78;
NTI Gymnasiet Kronhus;35006050;Göteborg;1480;Enskild;NTI Gymnasiet Macro AB;5561203679;579;217;194;168;23;32;66;
Peabskolan Göteborg;88886610;Göteborg;1480;Enskild;Peabskolan AB;5564427432;109;38;35;36;..;26;46;
Polhemsgymnasiet 1;21505555;Göteborg;1480;Kommunal;Göteborg;2120001355;388;130;121;137;41;30;84;
Polhemsgymnasiet 2;34336190;Göteborg;1480;Kommunal;Göteborg;2120001355;384;129;123;132;46;12;76;
Polhemsgymnasiet 3;21052710;Göteborg;1480;Kommunal;Göteborg;2120001355;391;130;132;129;60;9;84;
Praktiska Gymnasiet Göteborg;88556189;Göteborg;1480;Enskild;Praktiska Sverige AB;5562575786;216;85;81;50;38;51;35;
Realgymnasiet Göteborg;35236491;Göteborg;1480;Enskild;Lärande i Sverige AB;5565715892;298;116;86;96;81;14;58;
Rytmus Göteborg;69739484;Göteborg;1480;Enskild;Rytmus AB;5564648979;289;99;98;92;62;9;78;
Schillerska gymnasiet 1;92887917;Göteborg;1480;Kommunal;Göteborg;2120001355;465;164;150;151;85;18;78;
Schillerska gymnasiet 2;88834120;Göteborg;1480;Kommunal;Göteborg;2120001355;308;137;101;70;52;42;53;
Schillerska gymnasiet 3;36748805;Göteborg;1480;Kommunal;Göteborg;2120001355;371;131;124;116;62;36;66;
Sigrid Rudebecks gymnasium;19207279;Göteborg;1480;Enskild;Aktiebolaget Sigrid Rudebecks Skola;5563571248;447;153;149;145;68;10;93;
Sjölins Gymnasium Göteborg;53640774;Göteborg;1480;Enskild;Sjölins Gymnasium AB;5563758399;471;160;154;157;51;10;73;
SKF Tekniska Gymnasium;58502307;Göteborg;1480;Enskild;Skf Sverige Aktiebolag;5562408301;87;31;31;25;13;29;63;
Thoren Innovation School Göteborg;97177328;Göteborg;1480;Enskild;Thoren Innovation School AB;5568902653;172;51;67;54;6;52;47;
Västsvenska Gymnasiet;34831349;Göteborg;1480;Enskild;Idrottens Skola i Göteborg AB;5562035906;287;144;68;75;37;90;20;
