Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Antal elever
Valt läsår: 2021/22


Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Antal elever skolår 1;Antal elever skolår 2;Antal elever skolår 3;Andel kvinnor (%);Andel m utl bakgr (%);Andel m högutb föräldrar (%);
Ale gymnasium;17221836;Ale;1440;Kommunal;Ale;2120001439;123;58;39;26;44;44;24;
Lärlingsgymnasiet i Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;281;95;96;90;25;16;32;
Alingsås Yrkesgymnasium;17474377;Alingsås;1489;Enskild;Alingsås Yrkesgymnasium AB;5567290548;65;25;22;18;43;..;37;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås;2120001553;346;121;120;105;32;18;69;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås;2120001553;299;105;108;86;66;18;64;
Alströmergymnasiet sektor 4;61004230;Alingsås;1489;Kommunal;Alingsås;2120001553;454;160;148;146;48;11;64;
Alströmergymnasiet sektor 5;67768292;Alingsås;1489;Kommunal;Alingsås;2120001553;105;81;10;14;30;33;36;
Alvesta Gymnasieskola;75459583;Alvesta;0764;Kommunal;Alvesta;2120000639;96;61;34;1;44;83;20;
Vasagymnasiet;71262305;Arboga;1984;Kommunal;Arboga;2120002122;314;133;79;102;48;36;43;
Hornavanskolan;55795961;Arjeplog;2506;Kommunal;Arjeplog;2120002668;63;15;16;32;44;21;40;
Sandbackaskolan;84947634;Arvidsjaur;2505;Kommunal;Arvidsjaur;2120002650;206;79;64;63;49;14;49;
Estetiska skolan, gymnasiet;23517336;Arvika;1784;Enskild;Estetiska Skolan Arvika;8740020212;57;17;21;19;74;19;56;
Solbergagymnasiet;48009865;Arvika;1784;Kommunal;Arvika;2120001892;332;93;122;117;57;19;66;
Taserudsgymnasiet;68518617;Arvika;1784;Kommunal;Arvika;2120001892;444;162;121;161;40;27;31;
Karlfeldtgymnasiet;30376472;Avesta;2084;Kommunal;Avesta;2120002262;782;354;219;209;45;30;40;
Strömkullegymnasiet;19464342;Bengtsfors;1460;Kommunal;Bengtsfors;2120001470;110;31;26;53;46;49;39;
Fjällgymnasiet;60743463;Berg;2326;Kommunal;Berg;2120002502;114;29;39;46;53;22;47;
Björknäsgymnasiet Enhet 1;32960825;Boden;2582;Kommunal;Boden;2120002767;139;58;55;26;62;37;33;
Björknäsgymnasiet Enhet 2;43609520;Boden;2582;Kommunal;Boden;2120002767;254;72;108;74;62;15;71;
Björknäsgymnasiet Enhet 3;41416934;Boden;2582;Kommunal;Boden;2120002767;373;140;120;113;21;10;56;
Bollebygds gymnasieskola;35225375;Bollebygd;1443;Kommunal;Bollebygd;2120002973;12;6;4;2;..;..;..;
Friskolan Nytorp;21567982;Bollnäs;2183;Enskild;Friskolan Nytorp AB;5568813561;90;33;32;25;28;..;39;
Hälsingegymnasiet;91748148;Bollnäs;2183;Enskild;Hälsingegymnasiet AB;5567600886;244;75;87;82;50;27;59;
Naturlära i Hälsingland;49379603;Bollnäs;2183;Enskild;NaturLära i Hälsingland AB;5568554314;43;17;16;10;98;..;51;
Nytorps Hästgymnasium;80167319;Bollnäs;2183;Enskild;Nytorps Hästgymnasium AB;5569063455;17;6;3;8;94;..;..;
Torsbergsgymnasiet RO4;73171934;Bollnäs;2183;Kommunal;Hälsinglands Utbildningsförbund;2220003111;281;105;87;89;66;30;49;
Torsbergsgymnasiet RO5;83474173;Bollnäs;2183;Kommunal;Hälsinglands Utbildningsförbund;2220003111;263;99;81;83;43;19;31;
Erikslundsgymnasiet;21866405;Borlänge;2081;Kommunal;Borlänge;2120002239;215;77;83;55;17;7;44;
Hagagymnasiet;74434644;Borlänge;2081;Kommunal;Borlänge;2120002239;586;180;199;207;63;26;49;
Helixgymnasiet Borlänge;42022406;Borlänge;2081;Enskild;NTI Gymnasiet Helix AB;5566747290;192;62;62;68;23;33;48;
Hushagsgymnasiet;88445871;Borlänge;2081;Kommunal;Borlänge;2120002239;326;114;111;101;24;6;46;
Introduktionsprogrammen;19100658;Borlänge;2081;Kommunal;Borlänge;2120002239;184;96;54;34;47;60;20;
Realgymnasiet i Borlänge;11858071;Borlänge;2081;Enskild;Lärande i Sverige AB;5565715892;47;47;.;.;89;..;51;
Rytmus Borlänge;31322470;Borlänge;2081;Enskild;Rytmus AB;5564648979;144;52;54;38;47;8;57;
Soltorgsgymnasiet;65192707;Borlänge;2081;Kommunal;Borlänge;2120002239;484;158;157;169;55;23;71;
Almåsgymnasiet A;18425335;Borås;1490;Kommunal;Borås;2120001561;202;58;71;73;74;45;34;
Almåsgymnasiet B;93281974;Borås;1490;Kommunal;Borås;2120001561;222;80;78;64;71;68;27;
Almåsgymnasiet C;23424275;Borås;1490;Kommunal;Borås;2120001561;258;136;67;55;61;40;31;
Bäckängsgymnasiet A;43634528;Borås;1490;Kommunal;Borås;2120001561;471;176;141;154;53;42;73;
Bäckängsgymnasiet B;36263479;Borås;1490;Kommunal;Borås;2120001561;597;236;187;174;73;28;66;
Bäckängsgymnasiet C;56679384;Borås;1490;Kommunal;Borås;2120001561;210;78;59;73;79;19;60;
Bäckängsgymnasiet D;30538202;Borås;1490;Kommunal;Borås;2120001561;160;71;39;50;63;49;41;
Drottning Blankas Gymnasieskola Borås;19150273;Borås;1490;Enskild;DBGY Kronan AB;5565668794;184;71;58;55;73;50;39;
LBS Kreativa Gymnasiet Borås;69018222;Borås;1490;Enskild;Ljud & Bildskolan Lbs AB;5564851649;220;75;67;78;21;22;57;
Praktiska Gymnasiet Borås;25624692;Borås;1490;Enskild;Praktiska Sverige AB;5562575786;169;63;44;62;16;45;28;
Realgymnasiet Borås;88534520;Borås;1490;Enskild;Lärande i Sverige AB;5565715892;138;54;48;36;78;..;46;
Sven Eriksonsgymnasiet A;12889940;Borås;1490;Kommunal;Borås;2120001561;395;146;114;135;23;24;66;
Sven Eriksonsgymnasiet B;16554575;Borås;1490;Kommunal;Borås;2120001561;246;140;58;48;47;58;33;
Sven Eriksonsgymnasiet C;34076477;Borås;1490;Kommunal;Borås;2120001561;348;125;116;107;35;28;58;
Sven Eriksonsgymnasiet D;54450836;Borås;1490;Kommunal;Borås;2120001561;340;109;118;113;56;22;58;
Viskastrandsgymnasiet A;25356960;Borås;1490;Kommunal;Borås;2120001561;241;75;90;76;23;7;37;
Viskastrandsgymnasiet B;64284020;Borås;1490;Kommunal;Borås;2120001561;143;31;61;51;45;14;51;
Viskastrandsgymnasiet C;98132436;Borås;1490;Kommunal;Borås;2120001561;221;91;68;62;8;15;38;
Viskastrandsgymnasiet D;67692516;Borås;1490;Kommunal;Borås;2120001561;310;130;102;78;4;34;32;
Yrkesgymnasiet Borås;59082395;Borås;1490;Enskild;Thorengruppen AB;5566139290;66;41;25;.;21;36;29;
Skyttbrinks gymnasium;60096875;Botkyrka;0127;Kommunal;Botkyrka;2120002882;160;58;42;60;33;46;26;
S:t Botvids gymnasium;97758137;Botkyrka;0127;Kommunal;Botkyrka;2120002882;486;179;153;154;55;87;27;
Södertörns Gymnasium;53400472;Botkyrka;0127;Enskild;STEG för framtiden Aktiebolag;5567538383;86;39;28;19;44;84;41;
Tullinge gymnasium;26334561;Botkyrka;0127;Kommunal;Botkyrka;2120002882;736;241;262;233;51;26;72;
Tumba gymnasium;40386043;Botkyrka;0127;Kommunal;Botkyrka;2120002882;1 351;477;440;434;48;46;61;
Furubygg;29324709;Bromölla;1272;Kommunal;Sölvesborgs-Bromöllas Kommunalförbund;2220001222;49;17;15;17;..;..;31;
Jämtlands Gymn, Bräcke;26864271;Bräcke;2305;Kommunal;Jämtlands Gymnasieförbund;2220001636;114;43;38;33;17;9;35;
Gymnasieutbildningen i Burlöv;73416853;Burlöv;1231;Kommunal;Burlöv;2120001025;45;19;17;9;44;82;..;
Akademi Båstad Gymnasium;59483268;Båstad;1278;Kommunal;Båstad;2120000944;193;66;72;55;50;32;58;
Apelrydsskolan i Båstad;32879845;Båstad;1278;Enskild;Stiftelsen Apelryd International;8024778402;225;79;77;69;63;13;64;
Utsikten, Dals-Eds gymnasium;88573795;Dals-Ed;1438;Kommunal;Dals-Ed;2120001413;61;22;19;20;39;..;44;
British International School;66620411;Danderyd;0162;Enskild;Stiftelsen Borgen 2 - British International School Stockholm;8024777289;23;13;10;.;48;78;78;
