Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Antal elever
Valt läsår: 2015/16

På grund av en stor ökning av antalet elever som saknar ett giltigt personnummer har redovisningen av utländsk bakgrund reviderats fr.o.m. läsåret 2015/16.
Detta innebär att elever som saknar giltigt personnummer och läser enligt programmet språkintroduktion nu räknas till elever som har utländsk bakgrund.

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Antal elever skolår 1;Antal elever skolår 2;Antal elever skolår 3;Andel kvinnor (%);Andel m utl bakgr (%);Andel m högutb föräldrar (%);
Ale gymnasium;17221836;Ale;1440;Kommunal;Ale;2120001439;74;43;27;4;31;69;..;
Lärlingsgymnasiet i Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;156;56;56;44;28;12;24;
Alingsås Yrkesgymnasium;17474377;Alingsås;1489;Enskild;Alingsås Yrkesgymnasium AB;5567290548;53;23;16;14;..;19;45;
Alströmergymnasiet sektor 1;74776778;Alingsås;1489;Kommunal;Alingsås;2120001553;445;277;85;83;45;17;49;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås;2120001553;234;25;92;117;24;10;55;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås;2120001553;153;25;58;70;63;14;54;
Alströmergymnasiet sektor 4;61004230;Alingsås;1489;Kommunal;Alingsås;2120001553;91;26;35;30;64;20;51;
Alströmergymnasiet sektor 5;67768292;Alingsås;1489;Kommunal;Alingsås;2120001553;32;29;2;1;53;63;..;
Allbo Lärcenter;75459583;Alvesta;0764;Kommunal;Alvesta;2120000639;80;80;.;.;41;95;..;
Vasagymnasiet;71262305;Arboga;1984;Kommunal;Arboga;2120002122;393;159;138;96;47;33;41;
Hornavanskolan;55795961;Arjeplog;2506;Kommunal;Arjeplog;2120002668;102;49;30;23;31;39;27;
Sandbackaskolan;84947634;Arvidsjaur;2505;Kommunal;Arvidsjaur;2120002650;230;113;64;53;37;30;25;
Estetiska skolan, gymnasiet;23517336;Arvika;1784;Enskild;Estetiska Skolan Arvika;8740020212;57;16;23;18;65;..;67;
Solbergagymnasiet;48009865;Arvika;1784;Kommunal;Arvika;2120001892;385;131;117;137;57;16;58;
Taserudsgymnasiet 1;97870412;Arvika;1784;Kommunal;Arvika;2120001892;135;45;41;49;11;12;33;
Taserudsgymnasiet 2;68564903;Arvika;1784;Kommunal;Arvika;2120001892;266;104;104;58;44;33;23;
Karlfeldtgymnasiet ro 1;82840198;Avesta;2084;Kommunal;Avesta;2120002262;333;193;87;53;56;39;30;
Karlfeldtgymnasiet ro 2;18208087;Avesta;2084;Kommunal;Avesta;2120002262;234;85;74;75;23;16;38;
Karlfeldtgymnasiet ro 3;89982804;Avesta;2084;Kommunal;Avesta;2120002262;141;53;44;44;56;16;32;
Strömkulleskolan, gymnasiet;19464342;Bengtsfors;1460;Kommunal;Bengtsfors;2120001470;207;81;63;63;49;33;32;
Fjällgymnasiet;60743463;Berg;2326;Kommunal;Berg;2120002502;113;40;33;40;45;36;35;
Gymnasieutbildningen i Bjuv;70011480;Bjuv;1260;Kommunal;Bjuv;2120001041;17;16;1;.;..;76;..;
Björknäsgymnasiet sektor 1;32960825;Boden;2582;Kommunal;Boden;2120002767;188;135;23;30;40;53;45;
Björknäsgymnasiet sektor 2;43609520;Boden;2582;Kommunal;Boden;2120002767;163;57;54;52;66;10;57;
Björknäsgymnasiet sektor 3;41416934;Boden;2582;Kommunal;Boden;2120002767;295;108;95;92;21;6;39;
Björknäsgymnasiet sektor 4;97968599;Boden;2582;Kommunal;Boden;2120002767;208;77;56;75;40;7;74;
Bollebygds gymnasieskola;35225375;Bollebygd;1443;Kommunal;Bollebygd;2120002973;11;11;.;.;..;..;..;
Friskolan Nytorp;21567982;Bollnäs;2183;Enskild;Friskolan Nytorp AB;5568813561;46;23;10;13;26;..;..;
Hälsingegymnasiet;91748148;Bollnäs;2183;Enskild;Hälsingegymnasiet AB;5567600886;258;97;80;81;46;14;55;
Naturlära i Hälsingland;49379603;Bollnäs;2183;Enskild;NaturLära i Hälsingland AB;5568554314;19;10;4;5;89;..;..;
Nytorps Hästgymnasium;80167319;Bollnäs;2183;Enskild;Nytorps Hästgymnasium AB;5569063455;27;11;7;9;93;..;..;
Torsbergsgymnasiet RO3;42218661;Bollnäs;2183;Kommunal;Hälsinglands Utbildningsförbund;2220003111;202;68;57;77;68;26;47;
Torsbergsgymnasiet RO4;73171934;Bollnäs;2183;Kommunal;Hälsinglands Utbildningsförbund;2220003111;210;98;75;37;47;65;18;
Torsbergsgymnasiet RO5;83474173;Bollnäs;2183;Kommunal;Hälsinglands Utbildningsförbund;2220003111;217;79;52;86;33;18;30;
Ölands gymnasium 1;91487291;Borgholm;0885;Kommunal;Kalmarsunds gymnasieförbund;8324016453;35;9;12;14;54;..;..;
Erikslundsgymnasiet;21866405;Borlänge;2081;Kommunal;Borlänge;2120002239;147;57;47;43;16;16;29;
Hagagymnasiet;74434644;Borlänge;2081;Kommunal;Borlänge;2120002239;491;217;150;124;57;28;43;
Helixgymnasiet Borlänge;42022406;Borlänge;2081;Enskild;Helixutbildningar AB;5566747290;250;102;87;61;23;14;50;
Hushagsgymnasiet;88445871;Borlänge;2081;Kommunal;Borlänge;2120002239;343;119;107;117;32;12;31;
Introduktionsprogrammen;19100658;Borlänge;2081;Kommunal;Borlänge;2120002239;196;100;63;33;43;74;17;
Soltorgsgymnasiet;65192707;Borlänge;2081;Kommunal;Borlänge;2120002239;442;150;149;143;51;17;65;
Almåsgymnasiet A;18425335;Borås;1490;Kommunal;Borås;2120001561;297;106;99;92;76;31;29;
Almåsgymnasiet B;93281974;Borås;1490;Kommunal;Borås;2120001561;204;70;63;71;70;45;28;
Almåsgymnasiet C;23424275;Borås;1490;Kommunal;Borås;2120001561;204;64;70;70;71;15;25;
Bäckängsgymnasiet A;43634528;Borås;1490;Kommunal;Borås;2120001561;447;161;160;126;55;33;71;
Bäckängsgymnasiet B;36263479;Borås;1490;Kommunal;Borås;2120001561;581;204;189;188;68;22;57;
Bäckängsgymnasiet C;56679384;Borås;1490;Kommunal;Borås;2120001561;267;103;91;73;75;17;55;
Drottning Blankas Gymn. Borås;19150273;Borås;1490;Enskild;Drottning Blankas Gymnasieskola AB;5565668794;134;47;43;44;81;30;30;
LBS Ljud & Bildskolan Borås;69018222;Borås;1490;Enskild;Ljud & Bildskolan Lbs AB;5564851649;230;94;56;80;22;10;48;
Praktiska Borås;25624692;Borås;1490;Enskild;Praktiska Sverige AB;5562575786;100;37;32;31;19;33;20;
Realgymnasiet Borås;88534520;Borås;1490;Enskild;Lärande i Sverige AB;5565715892;90;41;28;21;87;..;51;
Sven Eriksonsgymnasiet A;12889940;Borås;1490;Kommunal;Borås;2120001561;542;203;180;159;27;18;60;
Sven Eriksonsgymnasiet B;16554575;Borås;1490;Kommunal;Borås;2120001561;189;67;62;60;41;47;46;
Sven Eriksonsgymnasiet C;34076477;Borås;1490;Kommunal;Borås;2120001561;374;134;142;98;60;23;51;
Tullengymnasiet;33201730;Borås;1490;Kommunal;Borås;2120001561;277;150;84;43;43;85;4;
Viskastrandsgymnasiet A;25356960;Borås;1490;Kommunal;Borås;2120001561;198;80;53;65;12;12;27;
Viskastrandsgymnasiet B;64284020;Borås;1490;Kommunal;Borås;2120001561;259;97;82;80;24;12;42;
Viskastrandsgymnasiet C;98132436;Borås;1490;Kommunal;Borås;2120001561;301;116;107;78;7;9;34;
Gullviva gymnasiet;53400472;Botkyrka;0127;Enskild;STEG för framtiden Aktiebolag;5567538383;73;30;24;19;53;89;38;
S:t Botvids gymnasium;97758137;Botkyrka;0127;Kommunal;Botkyrka;2120002882;510;175;231;104;44;88;25;
Tullinge gymnasium;26334561;Botkyrka;0127;Kommunal;Botkyrka;2120002882;656;225;224;207;53;39;58;
Tumba gymnasium;40386043;Botkyrka;0127;Kommunal;Botkyrka;2120002882;1 131;478;343;310;44;50;44;
Furubygg;29324709;Bromölla;1272;Kommunal;Sölvesborgs-Bromöllas Kommunalförbund;2220001222;45;15;15;15;..;..;27;
Jämtlands Gymn, Bräcke 5A;26864271;Bräcke;2305;Kommunal;Jämtlands Gymnasieförbund;2220001636;72;22;27;23;..;..;28;
Jämtlands Gymn, Bräcke 5B;64411379;Bräcke;2305;Kommunal;Jämtlands Gymnasieförbund;2220001636;54;23;20;11;19;91;..;
Gymnasieutbildningen i Burlöv;73416853;Burlöv;1231;Kommunal;Burlöv;2120001025;38;32;5;1;34;82;..;
Akademi Båstad Gymnasium;59483268;Båstad;1278;Kommunal;Båstad;2120000944;214;91;74;49;50;37;43;
