Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Antal elever
Valt läsår: 2015/16

På grund av en stor ökning av antalet elever som saknar ett giltigt personnummer har redovisningen av utländsk bakgrund reviderats fr.o.m. läsåret 2015/16.
Detta innebär att elever som saknar giltigt personnummer och läser enligt programmet språkintroduktion nu räknas till elever som har utländsk bakgrund.

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Antal elever skolår 1;Antal elever skolår 2;Antal elever skolår 3;Andel kvinnor (%);Andel m utl bakgr (%);Andel m högutb föräldrar (%);
Apelrydsskolan;33685428;Båstad;1278;Enskild;Stiftelsen Apelrydsskolan;8024247234;114;48;38;28;70;..;46;
Apelrydsskolan i Båstad;32879845;Båstad;1278;Enskild;Stiftelsen Apelryd International;8024778402;33;13;14;6;61;..;64;
Utsikten, Dals-Eds gymnasium;88573795;Dals-Ed;1438;Kommunal;Dals-Ed;2120001413;113;71;24;18;35;40;26;
Danderyds Gymnasium Ekonomi;20699742;Danderyd;0162;Kommunal;Danderyd;2120000126;552;153;205;194;42;9;82;
Danderyds Gymnasium Naturvetenskap och Teknik;21663998;Danderyd;0162;Kommunal;Danderyd;2120000126;411;133;134;144;34;17;91;
Danderyds Gymnasium Samhällsvetenskap, Naturvetenskap- och Samhällsvetenskap med varianterna bild, m;20595770;Danderyd;0162;Kommunal;Danderyd;2120000126;341;119;118;104;55;15;78;
Marina läroverket i Danderyd;82814120;Danderyd;0162;Enskild;Klart Skepp Marinteknik AB;5565160669;414;169;129;116;46;6;79;
Viktor Rydberg gy. Djursholm;45164827;Danderyd;0162;Enskild;Stiftelsen Viktor Rydbergs Skola;8120005650;518;178;154;186;59;19;90;
Möckelngymnasiet Degerfors;10924758;Degerfors;1862;Kommunal;Karlskoga;2120001991;223;105;61;57;45;35;35;
Eda gymnasieskola;10200794;Eda;1730;Kommunal;Eda;2120001769;73;28;29;16;33;52;..;
Individuella Gymnasiet;55711881;Ekerö;0125;Kommunal;Ekerö;2120000050;26;14;11;1;..;63;..;
Eksjö Gymnasium 1;34153869;Eksjö;0686;Kommunal;Eksjö;2120000589;258;99;90;69;63;17;60;
Eksjö Gymnasium 2;88259298;Eksjö;0686;Kommunal;Eksjö;2120000589;207;90;60;57;28;41;41;
Nifsarpsskolan fri;44240250;Eksjö;0686;Enskild;Eksjö Fordonsutbildning AB;5565848537;201;59;75;67;15;5;22;
Vilhelm Mobergsgymnasiet;17846181;Emmaboda;0862;Kommunal;Emmaboda;2120000738;196;71;64;61;33;41;36;
Westerlundska gymnasiet;75082798;Enköping;0381;Kommunal;Enköping;2120000282;1 107;467;305;335;42;23;40;
Grillska Gymnasiet Eskilstuna;23555409;Eskilstuna;0484;Enskild;Stadsmissionens Skolstiftelse;8020170794;368;143;103;122;55;22;48;
Interkulturella enheten;87554242;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;22;22;.;.;50;100;..;
Kunskapscompaniets Gymnasium;91333138;Eskilstuna;0484;Enskild;Kunskapscompaniet Gymnasium KCGY AB;5561383885;115;38;37;40;22;11;22;
Mikael Elias Gymnasium, Eskilstuna;82060950;Eskilstuna;0484;Enskild;Mikael Elias Gymnasium AB;5565583282;69;.;12;57;64;65;57;
NTI-gymnasiet Eskilstuna;30341162;Eskilstuna;0484;Enskild;Nordens Teknikerinstitut Aktiebolag (Nti);5561203679;113;61;25;27;14;21;41;
Realgymnasiet Eskilstuna;39936461;Eskilstuna;0484;Enskild;Lärande i Sverige AB;5565715892;106;34;42;30;92;..;31;
Rekarnegymnasiet 1;72266906;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;679;254;243;182;42;32;43;
Rekarnegymnasiet 2;27030026;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;673;210;266;197;34;27;39;
Rinmangymnasiet RI 1;16950252;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;501;185;166;150;28;23;55;
Rinmangymnasiet RI 2;34637764;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;652;240;230;182;64;53;42;
S:t Eskils gymnasium 1;19912478;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;470;182;144;144;67;37;56;
S:t Eskils gymnasium 2;73255276;Eskilstuna;0484;Kommunal;Eskilstuna;2120000357;267;205;36;26;63;62;18;
Bergagymnasiet;15077883;Eslöv;1285;Kommunal;Eslöv;2120001173;579;247;176;156;41;36;33;
Nossebro Lärcenter;37677921;Essunga;1445;Kommunal;Essunga;2120002916;6;6;.;.;..;..;..;
NVU, Brinellskolan 1;32420077;Fagersta;1982;Kommunal;Norra Västmanlands utbildningsförbund;2220000927;177;70;54;53;36;31;36;
NVU, Brinellskolan 2;48434184;Fagersta;1982;Kommunal;Norra Västmanlands utbildningsförbund;2220000927;350;150;117;83;41;42;29;
Drottning Blankas Gymn. Falkenberg;58724424;Falkenberg;1382;Enskild;Drottning Blankas Gymnasieskola AB;5565668794;139;43;45;51;87;19;29;
Falkenbergs Gymnasieskola 1;95684185;Falkenberg;1382;Kommunal;Falkenberg;2120001231;274;121;99;54;35;56;30;
Falkenbergs Gymnasieskola 2;51138448;Falkenberg;1382;Kommunal;Falkenberg;2120001231;218;77;60;81;61;20;44;
Falkenbergs Gymnasieskola 3;19647256;Falkenberg;1382;Kommunal;Falkenberg;2120001231;197;66;69;62;19;13;27;
Falkenbergs Gymnasieskola 4;56421429;Falkenberg;1382;Kommunal;Falkenberg;2120001231;172;65;55;52;15;13;48;
Falkenbergs Gymnasieskola 5;39911065;Falkenberg;1382;Kommunal;Falkenberg;2120001231;206;67;77;62;43;27;44;
Falkenbergs Gymnasieskola 6;89068742;Falkenberg;1382;Kommunal;Falkenberg;2120001231;126;40;43;43;79;10;47;
Ållebergsgymnasiet A;17008320;Falköping;1499;Kommunal;Falköping;2120001744;220;78;67;75;25;15;66;
Ållebergsgymnasiet B;56737496;Falköping;1499;Kommunal;Falköping;2120001744;248;98;65;85;33;17;35;
Ållebergsgymnasiet C;88850910;Falköping;1499;Kommunal;Falköping;2120001744;140;55;50;35;35;84;7;
Ållebergsgymnasiet D;78317945;Falköping;1499;Kommunal;Falköping;2120001744;68;22;21;25;76;28;28;
Ållebergsgymnasiet E;93939982;Falköping;1499;Kommunal;Falköping;2120001744;230;83;80;67;66;11;50;
Falu Frigymnasium;25720752;Falun;2080;Enskild;Falu Frigymnasium Aktiebolag;5566112834;313;104;125;84;70;15;55;
Hagströmska gymnasiet Falun;55155562;Falun;2080;Enskild;Hagströmska Gymnasiet AB;5567550461;694;231;219;244;31;9;48;
Kristinegymnasiet RO1;31533003;Falun;2080;Kommunal;Falun;2120002221;396;167;116;113;74;21;46;
Kristinegymnasiet RO2;31429031;Falun;2080;Kommunal;Falun;2120002221;143;50;45;48;78;11;37;
Lugnetgymnasiet RO1;23164911;Falun;2080;Kommunal;Falun;2120002221;413;169;126;118;36;13;66;
Lugnetgymnasiet RO2;24008049;Falun;2080;Kommunal;Falun;2120002221;161;57;52;52;..;19;35;
Lugnetgymnasiet RO3;72661886;Falun;2080;Kommunal;Falun;2120002221;407;264;63;80;54;38;36;
Mikael Elias Gymnasium, Falun;19981611;Falun;2080;Enskild;Mikael Elias Gymnasium AB;5565583282;102;22;37;43;76;18;53;
Musikkonservatoriet Falun;54481243;Falun;2080;Landsting;Landstinget Dalarna;2321000180;46;15;12;19;63;..;89;
NTI-gymnasiet Falun;36680097;Falun;2080;Enskild;Nordens Teknikerinstitut Aktiebolag (Nti);5561203679;118;35;32;51;23;13;45;
Plusgymnasiet Falun;87756916;Falun;2080;Enskild;Plusgymnasiet AB;5565789129;172;59;60;53;88;13;34;
Praktiska Falun;59734510;Falun;2080;Enskild;Praktiska Sverige AB;5562575786;121;63;29;29;50;13;22;
Spångbergsgymnasiet Re 2;95233730;Filipstad;1782;Kommunal;Filipstad;2120001876;185;58;63;64;39;19;23;
Spångbergsgymnasiet Re 3;81555202;Filipstad;1782;Kommunal;Filipstad;2120001876;81;26;29;26;53;25;32;
Spångbergsgymnasiet Re 3, IM;93242695;Filipstad;1782;Kommunal;Filipstad;2120001876;92;36;35;21;32;88;..;
Curt Nicolin-gymnasiet;95683850;Finspång;0562;Enskild;Curt Nicolin Gymnasiet AB;5566431044;394;136;137;121;30;10;49;
Nya Bergska väst;17643936;Finspång;0562;Kommunal;Finspång;2120000423;99;87;9;3;32;59;13;
Nya Bergska Öst;24273261;Finspång;0562;Kommunal;Finspång;2120000423;149;45;59;45;48;20;45;
Prins Wilhelm gymnasiet;59455288;Flen;0482;Kommunal;Flen;2120000332;291;103;101;87;44;54;27;
ForshagaAkademin;82163292;Forshaga;1763;Enskild;ForshagaAkademin AB;5566205737;234;76;75;83;33;6;40;
Gymnasieutbildningen i Gagnef;19599583;Gagnef;2026;Kommunal;Gagnef;2120002155;42;20;22;.;..;86;..;
Gislaveds gymn Introduktionspr;36581179;Gislaved;0662;Kommunal;Gislaved;2120000514;23;22;.;1;48;..;..;
Gislaveds gymnasium Ekonomisk sektor;25679488;Gislaved;0662;Kommunal;Gislaved;2120000514;342;115;103;124;68;31;30;
Gislaveds gymnasium NEO sektor;25677996;Gislaved;0662;Kommunal;Gislaved;2120000514;349;171;77;101;63;46;32;
Gislaveds gymnasium Teknisk sektor;89888648;Gislaved;0662;Kommunal;Gislaved;2120000514;274;106;80;88;10;20;37;
Motorsportsgymn. Anderstorp;90003262;Gislaved;0662;Enskild;Värmdö Tekniska Utbildningar Aktiebolag, Vtu;5563836757;60;21;25;14;..;18;28;
Stora Segerstad Naturbrukscentrum;88163512;Gislaved;0662;Landsting;Jönköpings Läns Landsting;2321000057;143;49;47;47;35;..;30;
Praktiska Gnesta;51399190;Gnesta;0461;Enskild;Praktiska Sverige AB;5562575786;49;17;14;18;37;51;29;
Gnosjöandans kunskapsc. gy;35063170;Gnosjö;0617;Kommunal;Gnosjö;2120000506;256;105;87;64;48;48;26;
Guteskolan, gymnasieskolan;31279294;Gotland;0980;Enskild;Guteskolan AB;5567044267;65;26;18;21;66;..;35;
Guteskolan Södra;81558435;Gotland;0980;Enskild;Guteskolan AB;5567044267;97;46;19;32;51;15;42;
Wisbygymnasiet Norr;23897040;Gotland;0980;Kommunal;Gotland;2120000803;685;354;152;179;26;18;38;
Wisbygymnasiet Söder;29799085;Gotland;0980;Kommunal;Gotland;2120000803;786;274;250;262;63;6;48;
Välkommaskolan, enhet 1;20666515;Gällivare;2523;Kommunal;Lapplands kommunalförbund;2220000760;182;65;59;58;34;8;51;
Välkommaskolan, enhet 2;37906565;Gällivare;2523;Kommunal;Lapplands kommunalförbund;2220000760;79;30;21;28;35;19;43;
Välkommaskolan, enhet 3;23063954;Gällivare;2523;Kommunal;Lapplands kommunalförbund;2220000760;130;44;38;48;86;..;45;
Välkommaskolan, enhet 4;67279303;Gällivare;2523;Kommunal;Lapplands kommunalförbund;2220000760;149;49;53;47;27;..;26;
Borgarskolan;21648755;Gävle;2180;Kommunal;Gävle;2120002338;871;291;332;248;48;18;46;
Plusgymnasiet Gävle;11111710;Gävle;2180;Enskild;Plusgymnasiet AB;5565789129;128;56;33;39;91;17;28;
Polhemsskolan;90551279;Gävle;2180;Kommunal;Gävle;2120002338;1 330;698;328;304;34;32;40;
Praktiska Gävle;93062368;Gävle;2180;Enskild;Praktiska Sverige AB;5562575786;84;38;21;25;38;36;19;
Realgymnasiet 2 i Gävle;95815739;Gävle;2180;Enskild;Lärande i Sverige AB;5565715892;169;59;56;54;36;19;33;
Realgymnasiet Gävle;69686851;Gävle;2180;Enskild;Lärande i Sverige AB;5565715892;237;80;83;74;92;5;39;
Thoren Business School Gävle;49616977;Gävle;2180;Enskild;Thorengruppen AB;5566139290;170;66;67;37;59;32;39;
Vasaskolan;54965510;Gävle;2180;Kommunal;Gävle;2120002338;963;346;330;287;66;26;67;
Yrkesgymnasiet Gävle;90267145;Gävle;2180;Enskild;Thorengruppen AB;5566139290;145;55;47;43;38;23;23;
Angeredsgymnasiet 1;72998905;Göteborg;1480;Kommunal;Göteborg;2120001355;199;83;60;56;55;91;15;
Angeredsgymnasiet 2;84835666;Göteborg;1480;Kommunal;Göteborg;2120001355;229;101;66;62;58;96;31;
Angeredsgymnasiet 3;24685151;Göteborg;1480;Kommunal;Göteborg;2120001355;444;402;21;21;42;89;14;
Angeredsgymnasiet 4;25872338;Göteborg;1480;Kommunal;Göteborg;2120001355;30;7;7;16;..;..;40;
Aniaragymnasiet;69481650;Göteborg;1480;Enskild;AF Affärseffekt Framtidsskola AB;5566666789;171;79;31;61;63;30;35;
Aspero Idrottsgymn. Göteborg;20319353;Göteborg;1480;Enskild;Aspero Friskolor AB;5566363973;183;77;76;30;20;30;60;
Bernadottegymnasiet;92194545;Göteborg;1480;Kommunal;Göteborg;2120001355;176;61;58;57;45;17;57;
Bräckegymnasiet 1;88153340;Göteborg;1480;Kommunal;Göteborg;2120001355;234;79;78;77;9;31;24;
Bräckegymnasiet 2;94353434;Göteborg;1480;Kommunal;Göteborg;2120001355;204;71;59;74;8;17;27;
Bräckegymnasiet 4;84978846;Göteborg;1480;Kommunal;Göteborg;2120001355;191;171;18;2;37;62;29;
Burgården Utbildningscentrum 1;59396229;Göteborg;1480;Kommunal;Göteborg;2120001355;302;124;105;73;97;31;29;
Burgården Utbildningscentrum 2;95165649;Göteborg;1480;Kommunal;Göteborg;2120001355;187;70;65;52;58;11;52;
Burgården Utbildningscentrum 3;64740897;Göteborg;1480;Kommunal;Göteborg;2120001355;287;186;52;49;53;52;35;
Burgården Utbildningscentrum 4;78979604;Göteborg;1480;Kommunal;Göteborg;2120001355;123;66;28;29;82;26;28;
Burgården Utbildningscentrum 5;69626109;Göteborg;1480;Kommunal;Göteborg;2120001355;287;121;81;85;69;51;23;
Cybergymnasiet Göteborg;85068812;Göteborg;1480;Enskild;Cybergymnasiet Göteborg AB;5565693297;223;89;97;37;45;73;36;
Donnergymnasiet;78397312;Göteborg;1480;Enskild;Donnergymnasiet AB;5565408381;565;189;188;188;68;19;78;
Drottning Blankas Gymn. Göteborg;36444853;Göteborg;1480;Enskild;Drottning Blankas Gymnasieskola AB;5565668794;355;132;112;111;88;25;50;
Ester Mosessons gymnasium 1;15414001;Göteborg;1480;Kommunal;Göteborg;2120001355;269;126;73;70;62;48;30;
Ester Mosessons gymnasium 2;38311488;Göteborg;1480;Kommunal;Göteborg;2120001355;185;2;96;87;58;17;39;
Ester Mosessons gymnasium 3;34848695;Göteborg;1480;Kommunal;Göteborg;2120001355;116;116;.;.;59;15;40;
Framtidsgymnasiet i Göteborg;16819383;Göteborg;1480;Enskild;Framtidsgymnasiet i Göteborg Aktiebolag;5564781606;295;88;134;73;13;89;14;
GTI:s gymnasieskola;89837629;Göteborg;1480;Enskild;Göteborgs Tekniska Institut Aktiebolag;5562358993;408;133;149;126;40;78;40;
Gymnasieakademin;12994441;Göteborg;1480;Enskild;IEAB International Education AB;5567265979;165;56;63;46;55;66;41;
Göteborgregionens tekniska gy;53660780;Göteborg;1480;Enskild;Göteborgs Tekniska College Aktiebolag;5565706768;346;117;113;116;12;12;74;
Göteborgs Högre Samskola gy.;88774402;Göteborg;1480;Enskild;Stiftelsen Göteborgs Högre Samskola;8572059197;534;180;176;178;60;11;86;
Hermods Gymnasium Göteborg;75141151;Göteborg;1480;Enskild;Hermods Aktiebolag;5560440017;394;94;124;176;62;53;48;
Hvitfeldtska gymnasiet 1;61701709;Göteborg;1480;Kommunal;Göteborg;2120001355;472;159;158;155;54;28;64;
Hvitfeldtska gymnasiet 2;61469192;Göteborg;1480;Kommunal;Göteborg;2120001355;225;71;78;76;52;20;72;
Hvitfeldtska gymnasiet 3;84306392;Göteborg;1480;Kommunal;Göteborg;2120001355;548;189;176;183;46;34;78;
Hvitfeldtska gymnasiet 4;28627819;Göteborg;1480;Kommunal;Göteborg;2120001355;404;125;124;155;67;26;67;
Hvitfeldtska gymnasiet 5;30086854;Göteborg;1480;Kommunal;Göteborg;2120001355;222;65;72;85;63;54;67;
Hvitfeldtska gymnasiet 6;50235617;Göteborg;1480;Kommunal;Göteborg;2120001355;212;109;74;29;50;54;30;
IHGR-gymnasiet;26627862;Göteborg;1480;Kommunal;Göteborg;2120001355;355;159;97;99;64;53;65;
Ingrid Segerstedts gymnasium;48847282;Göteborg;1480;Enskild;Stiftelsen Ingrid Segerstedts Gymnasium;8572088824;280;92;91;97;64;12;77;
International IT College of Sweden Gothenburg;72517762;Göteborg;1480;Enskild;Edinit AB;5563114445;133;38;59;36;44;92;39;
IT-Gymnasiet Göteborg;79094701;Göteborg;1480;Enskild;IT Gymnasiet Sverige AB;5565970471;467;159;153;155;20;21;68;
JENSEN Gymnasium Göteborg;38684438;Göteborg;1480;Enskild;Jensen Education College AB;5566358759;443;180;142;121;52;45;43;
Katrinelundsgymnasiet 1;31251822;Göteborg;1480;Kommunal;Göteborg;2120001355;396;131;133;132;47;45;48;
Katrinelundsgymnasiet 2;90099336;Göteborg;1480;Kommunal;Göteborg;2120001355;5;.;.;5;..;..;..;
Katrinelundsgymnasiet 3;96590873;Göteborg;1480;Kommunal;Göteborg;2120001355;357;147;104;106;81;64;22;
Katrinelundsgymnasiet 4;35647481;Göteborg;1480;Kommunal;Göteborg;2120001355;234;110;62;62;51;61;62;
Katrinelundsgymnasiet 5;39549479;Göteborg;1480;Kommunal;Göteborg;2120001355;281;96;95;90;33;30;56;
Kitas Ekonomi;73147554;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;264;86;69;109;58;10;67;
Kitas Frisörgymnasium;65752105;Göteborg;1480;Enskild;Kimuo frisörutbildning AB;5567385330;39;14;14;11;95;..;26;
Kitas Gymnasium;69983740;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;279;95;95;89;67;16;70;
Kitas Natur;66491596;Göteborg;1480;Enskild;Kitas utbildning AB;5567097117;229;90;64;75;41;23;78;
Kunskapsgymnasiet Göteborg;12052268;Göteborg;1480;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;350;129;114;107;60;68;43;
L M Engströms gymnasium;71597051;Göteborg;1480;Enskild;Peter Isaac Béens Utbildningsstiftelse;8572003666;541;193;184;164;72;9;84;
LBS Ljud & Bildskolan Göteborg;53231578;Göteborg;1480;Enskild;Ljud & Bildskolan Lbs AB;5564851649;206;117;89;.;14;13;60;
Lindholmens tekn gymnasium 1;11274830;Göteborg;1480;Kommunal;Göteborg;2120001355;260;97;75;88;4;22;38;
Lindholmens tekn gymnasium 2;51321260;Göteborg;1480;Kommunal;Göteborg;2120001355;227;90;68;69;..;25;42;
Lindholmens tekn gymnasium 3;96279444;Göteborg;1480;Kommunal;Göteborg;2120001355;265;84;100;81;14;25;68;
Lindholmens tekn gymnasium 4;53432700;Göteborg;1480;Kommunal;Göteborg;2120001355;395;274;121;.;31;100;4;
Mikael Elias Gymnasium, Göteborg;40690520;Göteborg;1480;Enskild;Mikael Elias Gymnasium AB;5565583282;499;205;165;129;64;35;69;
